country_code,country_name,regime_type,co2_new,doctors
AFG,Afghanistan,revolutionary,0.16696644693561075,0.077
AGO,Angola,revolutionary,1.0914437601870344,0.059
ALB,Albania,socialist,1.9703733112264967,1.3262
ARE,United Arab Emirates,capitalist_periphery,31.44134020391682,1.0105
ARG,Argentina,capitalist_periphery,3.3220583366995133,2.419
AUS,Australia,capitalist_core,12.012073702242182,1.75
AUT,Austria,capitalist_core,8.082767173621416,1.52
BDI,Burundi,capitalist_periphery,0.03362095052206831,0.0295
BEL,Belgium,capitalist_core,12.03495446885757,2.327272727
BEN,Benin,revolutionary,0.09755729108100632,0.0665
BFA,Burkina Faso,capitalist_periphery,0.0482664700847746,0.018
BGD,Bangladesh,capitalist_periphery,0.0670385902508456,0.137
BGR,Bulgaria,socialist,5.691020497574042,2.471636364
BHR,Bahrain,capitalist_periphery,12.14910320717906,1.153
BLZ,Belize,capitalist_periphery,1.280120953580607,0.272
BOL,Bolivia,capitalist_periphery,0.6698541853303807,0.57
BRA,Brazil,capitalist_periphery,1.1817764127581232,0.94625
BRB,Barbados,capitalist_periphery,2.306880271907895,0.891
BTN,Bhutan,capitalist_periphery,0.029230677448410753,0.1135
BWA,Botswana,capitalist_periphery,0.501302253030546,0.1335
CAF,Central African Republic,capitalist_periphery,0.08847353245381356,0.043333333
CAN,Canada,capitalist_core,15.930177821760026,1.818181818
CHE,Switzerland,capitalist_core,9.286583058496344,2.381818182
CHL,Chile,capitalist_periphery,2.3116211734914778,0.6665
CHN,China,socialist,0.9494915629968973,1.16375
CIV,Cote d'Ivoire,capitalist_periphery,0.3906929582121233,0.071
CMR,Cameroon,capitalist_periphery,0.15013021642641178,0.0715
COD,"Congo, DRC",capitalist_periphery,0.1667895280169689,0.0545
COG,Congo,revolutionary,1.5002990641941152,0.181666667
COL,Colombia,capitalist_periphery,1.5265464288228716,0.478
CPV,Cape Verde,capitalist_periphery,0.6439754344068387,0.188
CRI,Costa Rica,capitalist_periphery,0.9955134342920496,0.8345
CSK,Czechoslovakia,socialist,13.083457047512296,2.1
CUB,Cuba,socialist,2.413284464677635,1.637
CYP,Cyprus,capitalist_periphery,3.716967914659558,0.973
DOM,Dominican Republic,capitalist_periphery,0.762336401694689,0.4995
DZA,Algeria,capitalist_periphery,1.4945364820585314,0.4035
ECU,Ecuador,capitalist_periphery,0.7319550680412319,0.494
EGY,Egypt,capitalist_periphery,0.8311643776858532,1.0825
FJI,Fiji,capitalist_periphery,1.0789515543291526,0.472666667
FRA,France,capitalist_core,9.982081384180667,1.945454545
GAB,Gabon,capitalist_periphery,4.508371971972545,0.469333333
GBR,United Kingdom,capitalist_core,12.338000120564832,1.2
GHA,Ghana,capitalist_periphery,0.3321977078302509,0.0725
GIN,Guinea,capitalist_periphery,0.20819390064948973,0.023333333
GMB,The Gambia,capitalist_periphery,0.2518781635838568,0.0605
GRC,Greece,capitalist_periphery,3.97282871365278,2.454545455
GTM,Guatemala,capitalist_periphery,0.49357137581913263,0.47
HKG,Hong Kong,capitalist_periphery,7.127235883955363,0.749
HND,Honduras,capitalist_periphery,0.5174437632167755,0.40575
HTI,Haiti,capitalist_periphery,0.12427918598847237,0.11725
HUN,Hungary,socialist,6.42108531660062,2.372727273
IDN,Indonesia,capitalist_periphery,0.3704990259823477,0.077
IND,India,capitalist_periphery,0.37526285639619045,0.31025
IRN,Iran,capitalist_periphery,2.958839038635182,0.338
IRQ,Iraq,capitalist_periphery,2.952769799505451,0.5655
ISL,Iceland,capitalist_core,12.066647566785779,2.136363636
ISR,Israel,capitalist_periphery,5.3028193436697055,2.694
JAM,Jamaica,capitalist_periphery,2.753187733986039,0.403
JOR,Jordan,capitalist_periphery,1.9672814294527978,0.913
JPN,Japan,capitalist_core,7.370644002987971,1.228571429
KEN,Kenya,capitalist_periphery,0.33101333409597655,0.125
KHM,Cambodia,revolutionary,0.05410683547445711,0.058
KOR,South Korea,capitalist_periphery,1.9462495244952958,0.54
KWT,Kuwait,capitalist_periphery,61.70973966566964,1.576666667
LAO,Laos,revolutionary,0.17383337777215319,0.39
LBN,Lebanon,capitalist_periphery,2.1135267490495613,1.554
LBR,Liberia,capitalist_periphery,0.8834316483439977,0.097666667
LBY,Libya,capitalist_periphery,8.328197065810569,1.492
LKA,Sri Lanka,capitalist_periphery,0.2723411774128081,0.1545
LSO,Lesotho,capitalist_periphery,0.2805175818856618,0.0515
LUX,Luxembourg,capitalist_core,37.493990192588996,1.554545455
MAR,Morocco,capitalist_periphery,0.49727942346563253,0.064666667
MDG,Madagascar,revolutionary,0.151124883935245,0.098666667
MDV,Maldives,capitalist_periphery,0.0846228140124944,0.057
MLI,Mali,capitalist_periphery,0.053821809469695406,0.03475
MLT,Malta,capitalist_periphery,2.4137602588333085,1.2735
MMR,Myanmar,capitalist_periphery,0.13438029915446806,0.2365
