country_code,country_name,regime_type,GDP_PPP,adolescent_fertility
AFG,Afghanistan,revolutionary,1181.5238095238096,13.6482
AGO,Angola,revolutionary,2260,16.8278
ALB,Albania,socialist,3136.714285714286,2.1862
ARE,United Arab Emirates,capitalist_periphery,40350.857142857145,12.2398
ARG,Argentina,capitalist_periphery,11277.666666666666,7.678400000000001
AUS,Australia,capitalist_core,18589.809523809523,2.7085
AUT,Austria,capitalist_core,15720.285714285714,3.4383000000000004
BDI,Burundi,capitalist_periphery,826.8095238095239,9.2768
BEL,Belgium,capitalist_core,16878.380952380954,2.0657
BEN,Benin,revolutionary,1551.5714285714287,13.6972
BFA,Burkina Faso,capitalist_periphery,1120.904761904762,15.037200000000002
BGD,Bangladesh,capitalist_periphery,902.6190476190476,21.0858
BGR,Bulgaria,socialist,7519.285714285715,7.971299999999999
BHR,Bahrain,capitalist_periphery,5948.666666666667,5.6457
BOL,Bolivia,capitalist_periphery,3446.809523809524,10.3283
BRA,Brazil,capitalist_periphery,5211.238095238095,7.941
BRB,Barbados,capitalist_periphery,8836.619047619048,7.250400000000001
BWA,Botswana,capitalist_periphery,1195.1904761904761,14.3517
CAF,Central African Republic,capitalist_periphery,1428.8095238095239,16.2452
CAN,Canada,capitalist_core,19773.809523809523,2.8683
CHE,Switzerland,capitalist_core,22546.07165904762,0.9907
CHL,Chile,capitalist_periphery,7732.571428571428,7.578
CHN,China,socialist,1370.095238095238,1.2749
CIV,Cote d'Ivoire,capitalist_periphery,2735.0476190476193,20.4076
CMR,Cameroon,capitalist_periphery,1549.047619047619,18.6987
COD,"Congo, DRC",capitalist_periphery,1170.5714285714287,13.7499
COG,Congo,revolutionary,2434.904761904762,14.4012
COL,Colombia,capitalist_periphery,5111.333333333333,8.9664
COM,Comoros,capitalist_periphery,922.8095238095239,12.5526
CPV,Cape Verde,capitalist_periphery,1308.857142857143,9.6535
CRI,Costa Rica,capitalist_periphery,6062.857142857143,9.9665
CSK,Czechoslovakia,socialist,10358.952380952382,4.887940562953121
CUB,Cuba,socialist,3409.5238095238096,7.784000000000001
CYP,Cyprus,capitalist_periphery,6227.571428571428,3.2167000000000003
DEU,Germany,capitalist_core,17165.47619047619,2.6565000000000003
DNK,Denmark,capitalist_core,19814.238095238095,1.5753
DOM,Dominican Republic,capitalist_periphery,2755.2380952380954,11.3895
DZA,Algeria,capitalist_periphery,3569.809523809524,7.0276
ECU,Ecuador,capitalist_periphery,4807.523809523809,9.8641
EGY,Egypt,capitalist_periphery,2152.2380952380954,10.9525
ESP,Spain,capitalist_core,9820.238095238095,2.4885
ETH,Ethiopia,revolutionary,910.3809523809524,17.0636
FIN,Finland,capitalist_core,15002.333333333334,1.831
FRA,France,capitalist_core,17880.333333333332,2.3728
GAB,Gabon,capitalist_periphery,6611.190476190476,18.5479
GBR,United Kingdom,capitalist_core,17297.809523809523,3.0243
GHA,Ghana,capitalist_periphery,2136.7619047619046,12.2693
GIN,Guinea,capitalist_periphery,796.8095238095239,16.4954
GMB,The Gambia,capitalist_periphery,1397.047619047619,19.3921
GNB,Guinea-Bissau,capitalist_periphery,1237.8095238095239,12.0512
GRC,Greece,capitalist_periphery,9803.238095238095,5.3793999999999995
GTM,Guatemala,capitalist_periphery,4774.761904761905,14.0746
HKG,Hong Kong,capitalist_periphery,9846,1.2368
HND,Honduras,capitalist_periphery,2583.285714285714,13.8091
HTI,Haiti,capitalist_periphery,1704.4761904761904,8.4696
HUN,Hungary,socialist,8150.190476190476,6.9153
IDN,Indonesia,capitalist_periphery,2040.7619047619048,11.3951
IND,India,capitalist_periphery,1338.952380952381,14.5341
IRL,Ireland,capitalist_core,9963.904761904761,2.1654
IRN,Iran,capitalist_periphery,6554.761904761905,14.2827
IRQ,Iraq,capitalist_periphery,6285.380952380952,8.5651
ISL,Iceland,capitalist_core,16531.52380952381,5.3707
ISR,Israel,capitalist_periphery,12717.047619047618,3.6439
ITA,Italy,capitalist_core,15147,1.9758
JAM,Jamaica,capitalist_periphery,5327.380952380952,13.4483
JOR,Jordan,capitalist_periphery,4636.0952380952385,8.4178
JPN,Japan,capitalist_core,14251.42857142857,0.3438
KEN,Kenya,capitalist_periphery,1401.7619047619048,15.5947
KHM,Cambodia,revolutionary,1110.047619047619,7.957800000000001
KOR,South Korea,capitalist_periphery,3337.953428952381,1.2409
KWT,Kuwait,capitalist_periphery,36891.380952380954,7.734699999999999
LAO,Laos,revolutionary,885.8095238095239,10.2195
LBN,Lebanon,capitalist_periphery,6143.952380952381,6.646599999999999
LBR,Liberia,capitalist_periphery,4171.333333333333,19.3539
LBY,Libya,capitalist_periphery,5602.619047619048,7.4215
LCA,St. Lucia,capitalist_periphery,2299.8571428571427,15.5833
LKA,Sri Lanka,capitalist_periphery,2335.6666666666665,4.1897
LSO,Lesotho,capitalist_periphery,1210.952380952381,10.0655
LUX,Luxembourg,capitalist_core,20589.428571428572,1.7142
MAR,Morocco,capitalist_periphery,2649.5714285714284,7.9472
MDG,Madagascar,revolutionary,1791.2380952380952,15.424600000000002
MEX,Mexico,capitalist_periphery,6888,10.7948
MLI,Mali,capitalist_periphery,965.5714285714286,18.7084
MLT,Malta,capitalist_periphery,4469.9047619047615,1.295
MMR,Myanmar,capitalist_periphery,1034.6190476190477,6.300800000000001
MNG,Mongolia,socialist,1229.3333333333333,4.5418
MOZ,Mozambique,revolutionary,2329.285714285714,17.398
MRT,Mauritania,capitalist_periphery,1425.4285714285713,12.1395
MUS,Mauritius,capitalist_periphery,5719.238095238095,5.4604
MWI,Malawi,capitalist_periphery,790.1428571428571,18.304499999999997
MYS,Malaysia,capitalist_periphery,3673.6190476190477,3.396
NAM,Namibia,capitalist_periphery,6074.428571428572,10.6448
NER,Niger,capitalist_periphery,1275.952380952381,22.1599
NGA,Nigeria,capitalist_periphery,1706.952380952381,16.6099
NIC,Nicaragua,revolutionary,4293.952380952381,16.2273
NLD,Netherlands,capitalist_core,18558.428571428572,0.9072
NOR,Norway,capitalist_core,16833.571428571428,2.446
NPL,Nepal,capitalist_periphery,1039.095238095238,12.3472
NZL,New Zealand,capitalist_core,18078.714285714286,3.8975
OMN,Oman,capitalist_periphery,4524.190476190476,21.5632
PAK,Pakistan,capitalist_periphery,1418.142857142857,10.2942
PAN,Panama,capitalist_periphery,4958.238095238095,11.2997
PER,Peru,capitalist_periphery,6061.238095238095,9.4337
PHL,Philippines,capitalist_periphery,2952.190476190476,6.1695
POL,Poland,socialist,7444.333333333333,3.3957
PRI,Puerto Rico,capitalist_periphery,9559.142857142857,7.7887
PRK,North Korea,socialist,2458.911607,1.3424
