country_code,country_name,regime_type,GDP_PPP,calorie_availability
AFG,Afghanistan,revolutionary,1181.5238095238096,2478
AGO,Angola,revolutionary,2260,1967
ALB,Albania,socialist,3136.714285714286,2596
ARE,United Arab Emirates,capitalist_periphery,40350.857142857145,3394
ARG,Argentina,capitalist_periphery,11277.666666666666,3222
AUS,Australia,capitalist_core,18589.809523809523,3060
AUT,Austria,capitalist_core,15720.285714285714,3355
BEN,Benin,revolutionary,1551.5714285714287,1875
BFA,Burkina Faso,capitalist_periphery,1120.904761904762,1564
BGD,Bangladesh,capitalist_periphery,902.6190476190476,2023
BGR,Bulgaria,socialist,7519.285714285715,3588
BOL,Bolivia,capitalist_periphery,3446.809523809524,2096
BRA,Brazil,capitalist_periphery,5211.238095238095,2698
BRB,Barbados,capitalist_periphery,8836.619047619048,3050
BWA,Botswana,capitalist_periphery,1195.1904761904761,1965
CAF,Central African Republic,capitalist_periphery,1428.8095238095239,2310
CAN,Canada,capitalist_core,19773.809523809523,2950
CHE,Switzerland,capitalist_core,22546.07165904762,3512
CHL,Chile,capitalist_periphery,7732.571428571428,2682
CHN,China,socialist,1370.095238095238,2146
CIV,Cote d'Ivoire,capitalist_periphery,2735.0476190476193,2918
CMR,Cameroon,capitalist_periphery,1549.047619047619,2248
COG,Congo,revolutionary,2434.904761904762,2066
COL,Colombia,capitalist_periphery,5111.333333333333,2521
CPV,Cape Verde,capitalist_periphery,1308.857142857143,2098
CRI,Costa Rica,capitalist_periphery,6062.857142857143,2565
CSK,Czechoslovakia,socialist,10358.952380952382,3342
CUB,Cuba,socialist,3409.5238095238096,2893
CYP,Cyprus,capitalist_periphery,6227.571428571428,2455
DEU,Germany,capitalist_core,17165.47619047619,3278
DNK,Denmark,capitalist_core,19814.238095238095,3129
DOM,Dominican Republic,capitalist_periphery,2755.2380952380954,2261
DZA,Algeria,capitalist_periphery,3569.809523809524,2566
ECU,Ecuador,capitalist_periphery,4807.523809523809,2384
EGY,Egypt,capitalist_periphery,2152.2380952380954,2857
ESP,Spain,capitalist_core,9820.238095238095,3116
FIN,Finland,capitalist_core,15002.333333333334,3094
FRA,France,capitalist_core,17880.333333333332,3375
GAB,Gabon,capitalist_periphery,6611.190476190476,2273
GBR,United Kingdom,capitalist_core,17297.809523809523,3116
GHA,Ghana,capitalist_periphery,2136.7619047619046,1590
GIN,Guinea,capitalist_periphery,796.8095238095239,2354
GMB,The Gambia,capitalist_periphery,1397.047619047619,1959
GNB,Guinea-Bissau,capitalist_periphery,1237.8095238095239,2020
GRC,Greece,capitalist_periphery,9803.238095238095,3195
GTM,Guatemala,capitalist_periphery,4774.761904761905,2161
HKG,Hong Kong,capitalist_periphery,9846,2919
HND,Honduras,capitalist_periphery,2583.285714285714,2070
HTI,Haiti,capitalist_periphery,1704.4761904761904,1954
HUN,Hungary,socialist,8150.190476190476,3377
IDN,Indonesia,capitalist_periphery,2040.7619047619048,2236
IND,India,capitalist_periphery,1338.952380952381,1994
IRL,Ireland,capitalist_core,9963.904761904761,3575
IRN,Iran,capitalist_periphery,6554.761904761905,2656
IRQ,Iraq,capitalist_periphery,6285.380952380952,2676
ISL,Iceland,capitalist_core,16531.52380952381,3167
ISR,Israel,capitalist_periphery,12717.047619047618,3099
ITA,Italy,capitalist_core,15147,3603
JAM,Jamaica,capitalist_periphery,5327.380952380952,2652
JOR,Jordan,capitalist_periphery,4636.0952380952385,2542
JPN,Japan,capitalist_core,14251.42857142857,2798
KEN,Kenya,capitalist_periphery,1401.7619047619048,2293
KHM,Cambodia,revolutionary,1110.047619047619,1682
KOR,South Korea,capitalist_periphery,3337.953428952381,3025
KWT,Kuwait,capitalist_periphery,36891.380952380954,2943
LAO,Laos,revolutionary,885.8095238095239,1954
LBN,Lebanon,capitalist_periphery,6143.952380952381,2827
LBR,Liberia,capitalist_periphery,4171.333333333333,2483
LCA,St. Lucia,capitalist_periphery,2299.8571428571427,2184
LKA,Sri Lanka,capitalist_periphery,2335.6666666666665,2284
LSO,Lesotho,capitalist_periphery,1210.952380952381,2259
MAR,Morocco,capitalist_periphery,2649.5714285714284,2656
MDG,Madagascar,revolutionary,1791.2380952380952,2426
MEX,Mexico,capitalist_periphery,6888,2999
MLI,Mali,capitalist_periphery,965.5714285714286,1678
MLT,Malta,capitalist_periphery,4469.9047619047615,3256
MMR,Myanmar,capitalist_periphery,1034.6190476190477,1551
MNG,Mongolia,socialist,1229.3333333333333,2345
MOZ,Mozambique,revolutionary,2329.285714285714,1864
MRT,Mauritania,capitalist_periphery,1425.4285714285713,2133
MUS,Mauritius,capitalist_periphery,5719.238095238095,2622
MWI,Malawi,capitalist_periphery,790.1428571428571,2222
MYS,Malaysia,capitalist_periphery,3673.6190476190477,2763
NAM,Namibia,capitalist_periphery,6074.428571428572,2254
NER,Niger,capitalist_periphery,1275.952380952381,2171
NGA,Nigeria,capitalist_periphery,1706.952380952381,1859
NIC,Nicaragua,revolutionary,4293.952380952381,2028
NLD,Netherlands,capitalist_core,18558.428571428572,3103
NOR,Norway,capitalist_core,16833.571428571428,3349
NPL,Nepal,capitalist_periphery,1039.095238095238,1761
NZL,New Zealand,capitalist_core,18078.714285714286,3063
PAK,Pakistan,capitalist_periphery,1418.142857142857,2206
PAN,Panama,capitalist_periphery,4958.238095238095,2102
PER,Peru,capitalist_periphery,6061.238095238095,2041
PHL,Philippines,capitalist_periphery,2952.190476190476,2273
POL,Poland,socialist,7444.333333333333,3577
PRK,North Korea,socialist,2458.911607,2193
PRT,Portugal,capitalist_core,8694.52380952381,2786
PRY,Paraguay,capitalist_periphery,3141.285714285714,2537
ROU,Romania,socialist,3444.904761904762,3156
RWA,Rwanda,capitalist_periphery,1268.142857142857,2357
SAU,Saudi Arabia,capitalist_periphery,13579.857142857143,2874
SEN,Senegal,capitalist_periphery,2266.4761904761904,2182
SLE,Sierra Leone,capitalist_periphery,1422.4761904761904,2130
SLV,El Salvador,capitalist_periphery,3597.1428571428573,2246
SUN,USSR,socialist,8574.52380952381,3378
SWE,Sweden,capitalist_core,19468.619047619046,2991
SWZ,Swaziland,capitalist_periphery,1862.8095238095239,2371
TCD,Chad,capitalist_periphery,860.7619047619048,1636
TGO,Togo,capitalist_periphery,1486.2380952380952,2049
THA,Thailand,capitalist_periphery,2725.4761904761904,2170
TTO,Trinidad and Tobago,capitalist_periphery,13459.142857142857,2986
TUN,Tunisia,capitalist_periphery,3220.7619047619046,2952
TUR,Turkey,capitalist_periphery,4610.666666666667,3446
TWN,Taiwan,capitalist_periphery,4533.380952380952,2771
TZA,Tanzania,capitalist_periphery,884.2380952380952,2224
UGA,Uganda,capitalist_periphery,1226,2046
URY,Uruguay,capitalist_periphery,8164.0952380952385,2823
USA,United States,capitalist_core,24106.85714285714,3178
VEN,Venezuela,capitalist_periphery,15029.952380952382,2712
VNM,Vietnam,socialist,1274,1931
YEM,Yemen,revolutionary,2300.5238095238096,2024
YUG,Yugoslavia,socialist,6547.619047619048,3662
ZAF,South Africa,capitalist_periphery,6150.857142857143,2862
ZMB,Zambia,capitalist_periphery,1627.7619047619048,2268
ZWE,Zimbabwe,revolutionary,1849.952380952381,2295
