country_code,country_name,regime_type,GDP_PPP,electricity_access
AFG,Afghanistan,revolutionary,1188.1290322580646,0.01
AGO,Angola,revolutionary,1952.0967741935483,11.39780807
ALB,Albania,socialist,3371.2258064516127,100
ARE,United Arab Emirates,capitalist_periphery,36382.903225806454,100
ARG,Argentina,capitalist_periphery,11292,90.64082336
AUS,Australia,capitalist_core,20675.09677419355,100
AUT,Austria,capitalist_core,18396.387096774193,100
BDI,Burundi,capitalist_periphery,900.1612903225806,0.348627061
BEL,Belgium,capitalist_core,19350.483870967742,100
BEN,Benin,revolutionary,1630.8387096774193,7.311272144
BFA,Burkina Faso,capitalist_periphery,1167.3225806451612,2.610557318
BGD,Bangladesh,capitalist_periphery,912.1290322580645,8.544374466
BGR,Bulgaria,socialist,8300.161290322581,100
BOL,Bolivia,capitalist_periphery,3477.8387096774195,56.38216782
BRA,Brazil,capitalist_periphery,6074.935483870968,87.475116
BWA,Botswana,capitalist_periphery,1962.1290322580646,6.043880463
CAF,Central African Republic,capitalist_periphery,1330.258064516129,0.01
CAN,Canada,capitalist_core,22441.16129032258,100
CHE,Switzerland,capitalist_core,25073.227809032258,100
CHL,Chile,capitalist_periphery,8063.322580645161,92.257427
CHN,China,socialist,1770.3225806451612,92.21601105
CIV,Cote d'Ivoire,capitalist_periphery,2719.8387096774195,37.66371155
CMR,Cameroon,capitalist_periphery,1797.1612903225807,30.12971687
COD,"Congo, DRC",capitalist_periphery,1084.225806451613,0.01
COG,Congo,revolutionary,2977.8064516129034,0.01
COL,Colombia,capitalist_periphery,5743.806451612903,89.9
COM,Comoros,capitalist_periphery,991,15.2995491
CPV,Cape Verde,capitalist_periphery,1444.6774193548388,32.55810165
CRI,Costa Rica,capitalist_periphery,6415.870967741936,97.47466278
CSK,Czechoslovakia,socialist,11327.354838709678,100
CUB,Cuba,socialist,3872.3548387096776,92.52192688
CYP,Cyprus,capitalist_periphery,8163.645161290323,100
DEU,Germany,capitalist_core,19457.16129032258,100
DNK,Denmark,capitalist_core,22248,100
DOM,Dominican Republic,capitalist_periphery,3111.548387096774,79.59869385
