country_code,country_name,regime_type,GDP_PPP,hospital_beds
AFG,Afghanistan,revolutionary,1181.5238095238096,0.275599986
ALB,Albania,socialist,3136.714285714286,4.163916667166666
ARE,United Arab Emirates,capitalist_periphery,40350.857142857145,2.862299919
AUS,Australia,capitalist_core,18589.809523809523,11.936363567272728
AUT,Austria,capitalist_core,15720.285714285714,11.049999714999998
BDI,Burundi,capitalist_periphery,826.8095238095239,1.123200059
BEL,Belgium,capitalist_core,16878.380952380954,9.25
BEN,Benin,revolutionary,1551.5714285714287,0.985233327
BGD,Bangladesh,capitalist_periphery,902.6190476190476,0.2429333376666667
BGR,Bulgaria,socialist,7519.285714285715,8.925016721166667
BHR,Bahrain,capitalist_periphery,5948.666666666667,3.314399958
BOL,Bolivia,capitalist_periphery,3446.809523809524,2.058799982
BRA,Brazil,capitalist_periphery,5211.238095238095,4.995100021
BRB,Barbados,capitalist_periphery,8836.619047619048,8.534700394
BWA,Botswana,capitalist_periphery,1195.1904761904761,2.363100052
CAF,Central African Republic,capitalist_periphery,1428.8095238095239,1.558599949
CAN,Canada,capitalist_core,19773.809523809523,6.8400001526
CHL,Chile,capitalist_periphery,7732.571428571428,3.406399965
CHN,China,socialist,1370.095238095238,2.1872727112727275
CMR,Cameroon,capitalist_periphery,1549.047619047619,2.465899944
COD,"Congo, DRC",capitalist_periphery,1170.5714285714287,3.225300074
COL,Colombia,capitalist_periphery,5111.333333333333,1.564100027
CPV,Cape Verde,capitalist_periphery,1308.857142857143,2.1868999
CRI,Costa Rica,capitalist_periphery,6062.857142857143,3.314399958
CSK,Czechoslovakia,socialist,10358.952380952382,10.569569758780004
CYP,Cyprus,capitalist_periphery,6227.571428571428,5.686549901999999
DEU,Germany,capitalist_core,17165.47619047619,11.25
DNK,Denmark,capitalist_core,19814.238095238095,7.936363653636364
DOM,Dominican Republic,capitalist_periphery,2755.2380952380954,2.501499891
ECU,Ecuador,capitalist_periphery,4807.523809523809,2.2267499565
EGY,Egypt,capitalist_periphery,2152.2380952380954,2.0450333753333334
ESP,Spain,capitalist_core,9820.238095238095,5.257142884142858
ETH,Ethiopia,revolutionary,910.3809523809524,0.2906000015
FIN,Finland,capitalist_core,15002.333333333334,14.80000019
FRA,France,capitalist_core,17880.333333333332,10.836363791818185
GAB,Gabon,capitalist_periphery,6611.190476190476,1.552000046
GBR,United Kingdom,capitalist_core,17297.809523809523,7.750000238
GHA,Ghana,capitalist_periphery,2136.7619047619046,1.4089000225
GMB,The Gambia,capitalist_periphery,1397.047619047619,1.657799959
GNB,Guinea-Bissau,capitalist_periphery,1237.8095238095239,1.928849995
GRC,Greece,capitalist_periphery,9803.238095238095,5.849999904500001
GTM,Guatemala,capitalist_periphery,4774.761904761905,2.00270009
HKG,Hong Kong,capitalist_periphery,9846,4.51574993125
HND,Honduras,capitalist_periphery,2583.285714285714,1.4457666476666666
HTI,Haiti,capitalist_periphery,1704.4761904761904,0.7465333343333334
IDN,Indonesia,capitalist_periphery,2040.7619047619048,0.6875500084999999
IND,India,capitalist_periphery,1338.952380952381,0.724124998
IRL,Ireland,capitalist_core,9963.904761904761,8.666666666666666
IRN,Iran,capitalist_periphery,6554.761904761905,1.4980999825
IRQ,Iraq,capitalist_periphery,6285.380952380952,1.9197500345
ISL,Iceland,capitalist_core,16531.52380952381,15.30000019
ISR,Israel,capitalist_periphery,12717.047619047618,6.8460429057142855
ITA,Italy,capitalist_core,15147,9.536363688363636
JAM,Jamaica,capitalist_periphery,5327.380952380952,4.166399956
JOR,Jordan,capitalist_periphery,4636.0952380952385,1.1738750040000001
JPN,Japan,capitalist_core,14251.42857142857,14.19999981
KEN,Kenya,capitalist_periphery,1401.7619047619048,1.478550017
KOR,South Korea,capitalist_periphery,3337.953428952381,2.0500000715
KWT,Kuwait,capitalist_periphery,36891.380952380954,4.14470005
LBR,Liberia,capitalist_periphery,4171.333333333333,1.646999955
LBY,Libya,capitalist_periphery,5602.619047619048,4.825500011
LKA,Sri Lanka,capitalist_periphery,2335.6666666666665,3.071633339
LSO,Lesotho,capitalist_periphery,1210.952380952381,1.628399968
MAR,Morocco,capitalist_periphery,2649.5714285714284,1.307899952
MDG,Madagascar,revolutionary,1791.2380952380952,2.431299925
MEX,Mexico,capitalist_periphery,6888,0.699999988
MLI,Mali,capitalist_periphery,965.5714285714286,0.714299977
MLT,Malta,capitalist_periphery,4469.9047619047615,9.463899612
MMR,Myanmar,capitalist_periphery,1034.6190476190477,0.8573499920000001
MNG,Mongolia,socialist,1229.3333333333333,11.113049985
MOZ,Mozambique,revolutionary,2329.285714285714,1.089699984
