country_code,country_name,regime_type,GDP_PPP,literacy_rate
AFG,Afghanistan,revolutionary,1181.5238095238096,20
ARE,United Arab Emirates,capitalist_periphery,40350.857142857145,56
ARG,Argentina,capitalist_periphery,11277.666666666666,93
AUS,Australia,capitalist_core,18589.809523809523,100
AUT,Austria,capitalist_core,15720.285714285714,99
BDI,Burundi,capitalist_periphery,826.8095238095239,25
BEL,Belgium,capitalist_core,16878.380952380954,99
BEN,Benin,revolutionary,1551.5714285714287,28
BFA,Burkina Faso,capitalist_periphery,1120.904761904762,5
BGD,Bangladesh,capitalist_periphery,902.6190476190476,26
BOL,Bolivia,capitalist_periphery,3446.809523809524,63
BRA,Brazil,capitalist_periphery,5211.238095238095,76
CAF,Central African Republic,capitalist_periphery,1428.8095238095239,33
CAN,Canada,capitalist_core,19773.809523809523,99
CHE,Switzerland,capitalist_core,22546.07165904762,99
CHN,China,socialist,1370.095238095238,69
CIV,Cote d'Ivoire,capitalist_periphery,2735.0476190476193,35
COD,"Congo, DRC",capitalist_periphery,1170.5714285714287,55
COL,Colombia,capitalist_periphery,5111.333333333333,81
CRI,Costa Rica,capitalist_periphery,6062.857142857143,90
CUB,Cuba,socialist,3409.5238095238096,95
DNK,Denmark,capitalist_core,19814.238095238095,99
DOM,Dominican Republic,capitalist_periphery,2755.2380952380954,67
DZA,Algeria,capitalist_periphery,3569.809523809524,35
ECU,Ecuador,capitalist_periphery,4807.523809523809,81
EGY,Egypt,capitalist_periphery,2152.2380952380954,44
ETH,Ethiopia,revolutionary,910.3809523809524,15
FIN,Finland,capitalist_core,15002.333333333334,100
FRA,France,capitalist_core,17880.333333333332,99
GBR,United Kingdom,capitalist_core,17297.809523809523,99
GIN,Guinea,capitalist_periphery,796.8095238095239,20
HKG,Hong Kong,capitalist_periphery,9846,90
HND,Honduras,capitalist_periphery,2583.285714285714,60
HTI,Haiti,capitalist_periphery,1704.4761904761904,23
HUN,Hungary,socialist,8150.190476190476,99
IDN,Indonesia,capitalist_periphery,2040.7619047619048,62
IND,India,capitalist_periphery,1338.952380952381,36
IRL,Ireland,capitalist_core,9963.904761904761,98
IRN,Iran,capitalist_periphery,6554.761904761905,50
ITA,Italy,capitalist_core,15147,98
JAM,Jamaica,capitalist_periphery,5327.380952380952,90
JOR,Jordan,capitalist_periphery,4636.0952380952385,70
JPN,Japan,capitalist_core,14251.42857142857,99
KEN,Kenya,capitalist_periphery,1401.7619047619048,47
KOR,South Korea,capitalist_periphery,3337.953428952381,93
KWT,Kuwait,capitalist_periphery,36891.380952380954,60
LAO,Laos,revolutionary,885.8095238095239,44
LBR,Liberia,capitalist_periphery,4171.333333333333,25
LKA,Sri Lanka,capitalist_periphery,2335.6666666666665,85
LSO,Lesotho,capitalist_periphery,1210.952380952381,52
MAR,Morocco,capitalist_periphery,2649.5714285714284,28
MDG,Madagascar,revolutionary,1791.2380952380952,50
MEX,Mexico,capitalist_periphery,6888,83
MLI,Mali,capitalist_periphery,965.5714285714286,10
MMR,Myanmar,capitalist_periphery,1034.6190476190477,66
MNG,Mongolia,socialist,1229.3333333333333,95
MOZ,Mozambique,revolutionary,2329.285714285714,33
MRT,Mauritania,capitalist_periphery,1425.4285714285713,17
MWI,Malawi,capitalist_periphery,790.1428571428571,25
MYS,Malaysia,capitalist_periphery,3673.6190476190477,60
NER,Niger,capitalist_periphery,1275.952380952381,10
NGA,Nigeria,capitalist_periphery,1706.952380952381,34
NIC,Nicaragua,revolutionary,4293.952380952381,90
NLD,Netherlands,capitalist_core,18558.428571428572,99
NOR,Norway,capitalist_core,16833.571428571428,99
NPL,Nepal,capitalist_periphery,1039.095238095238,19
NZL,New Zealand,capitalist_core,18078.714285714286,99
PAK,Pakistan,capitalist_periphery,1418.142857142857,24
PAN,Panama,capitalist_periphery,4958.238095238095,85
PER,Peru,capitalist_periphery,6061.238095238095,80
PHL,Philippines,capitalist_periphery,2952.190476190476,75
POL,Poland,socialist,7444.333333333333,98
PRT,Portugal,capitalist_core,8694.52380952381,78
PRY,Paraguay,capitalist_periphery,3141.285714285714,84
ROU,Romania,socialist,3444.904761904762,98
RWA,Rwanda,capitalist_periphery,1268.142857142857,50
SAU,Saudi Arabia,capitalist_periphery,13579.857142857143,25
SDN,Sudan,capitalist_periphery,1525.5238095238096,32
SEN,Senegal,capitalist_periphery,2266.4761904761904,10
SGP,Singapore,capitalist_periphery,7218.857142857143,83
SLE,Sierra Leone,capitalist_periphery,1422.4761904761904,15
SLV,El Salvador,capitalist_periphery,3597.1428571428573,62
SUN,USSR,socialist,8574.52380952381,100
SWE,Sweden,capitalist_core,19468.619047619046,99
SYR,Syria,capitalist_periphery,6891.809523809524,58
TCD,Chad,capitalist_periphery,860.7619047619048,15
TGO,Togo,capitalist_periphery,1486.2380952380952,18
THA,Thailand,capitalist_periphery,2725.4761904761904,86
TTO,Trinidad and Tobago,capitalist_periphery,13459.142857142857,95
TUN,Tunisia,capitalist_periphery,3220.7619047619046,62
TUR,Turkey,capitalist_periphery,4610.666666666667,60
TZA,Tanzania,capitalist_periphery,884.2380952380952,79
UGA,Uganda,capitalist_periphery,1226,52
URY,Uruguay,capitalist_periphery,8164.0952380952385,94
USA,United States,capitalist_core,24106.85714285714,99
VEN,Venezuela,capitalist_periphery,15029.952380952382,82
VNM,Vietnam,socialist,1274,87
YEM,Yemen,revolutionary,2300.5238095238096,21
YUG,Yugoslavia,socialist,6547.619047619048,85
ZMB,Zambia,capitalist_periphery,1627.7619047619048,44
ZWE,Zimbabwe,revolutionary,1849.952380952381,69
