country_code,country_name,regime_type,GDP_PPP,physical_integrity_rights
AFG,Afghanistan,revolutionary,1181.5238095238096,0.106
AGO,Angola,revolutionary,2260,0.075
ALB,Albania,socialist,3136.714285714286,0.029
ARE,United Arab Emirates,capitalist_periphery,40350.857142857145,0.621
ARG,Argentina,capitalist_periphery,11277.666666666666,0.024
AUS,Australia,capitalist_core,18589.809523809523,0.98
AUT,Austria,capitalist_core,15720.285714285714,0.922
BDI,Burundi,capitalist_periphery,826.8095238095239,0.386
BEL,Belgium,capitalist_core,16878.380952380954,0.971
BEN,Benin,revolutionary,1551.5714285714287,0.137
BFA,Burkina Faso,capitalist_periphery,1120.904761904762,0.309
BGD,Bangladesh,capitalist_periphery,902.6190476190476,0.3
BGR,Bulgaria,socialist,7519.285714285715,0.445
BHR,Bahrain,capitalist_periphery,5948.666666666667,0.339
BOL,Bolivia,capitalist_periphery,3446.809523809524,0.139
BRA,Brazil,capitalist_periphery,5211.238095238095,0.221
BRB,Barbados,capitalist_periphery,8836.619047619048,0.922
BWA,Botswana,capitalist_periphery,1195.1904761904761,0.862
CAF,Central African Republic,capitalist_periphery,1428.8095238095239,0.541
CAN,Canada,capitalist_core,19773.809523809523,0.956
CHE,Switzerland,capitalist_core,22546.07165904762,0.975
CHL,Chile,capitalist_periphery,7732.571428571428,0.031
CHN,China,socialist,1370.095238095238,0.43
CIV,Cote d'Ivoire,capitalist_periphery,2735.0476190476193,0.54
CMR,Cameroon,capitalist_periphery,1549.047619047619,0.159
COD,"Congo, DRC",capitalist_periphery,1170.5714285714287,0.049
COG,Congo,revolutionary,2434.904761904762,0.166
COL,Colombia,capitalist_periphery,5111.333333333333,0.167
COM,Comoros,capitalist_periphery,922.8095238095239,0.268
CPV,Cape Verde,capitalist_periphery,1308.857142857143,0.796
CRI,Costa Rica,capitalist_periphery,6062.857142857143,0.919
CSK,Czechoslovakia,socialist,10358.952380952382,0.494
CUB,Cuba,socialist,3409.5238095238096,0.548
CYP,Cyprus,capitalist_periphery,6227.571428571428,0.897
DEU,Germany,capitalist_core,17165.47619047619,0.97
DNK,Denmark,capitalist_core,19814.238095238095,0.989
DOM,Dominican Republic,capitalist_periphery,2755.2380952380954,0.817
DZA,Algeria,capitalist_periphery,3569.809523809524,0.567
ECU,Ecuador,capitalist_periphery,4807.523809523809,0.714
EGY,Egypt,capitalist_periphery,2152.2380952380954,0.199
ESP,Spain,capitalist_core,9820.238095238095,0.719
ETH,Ethiopia,revolutionary,910.3809523809524,0.053
FIN,Finland,capitalist_core,15002.333333333334,0.987
FRA,France,capitalist_core,17880.333333333332,0.936
GAB,Gabon,capitalist_periphery,6611.190476190476,0.53
GBR,United Kingdom,capitalist_core,17297.809523809523,0.738
GHA,Ghana,capitalist_periphery,2136.7619047619046,0.842
GIN,Guinea,capitalist_periphery,796.8095238095239,0.056
GMB,The Gambia,capitalist_periphery,1397.047619047619,0.833
GNB,Guinea-Bissau,capitalist_periphery,1237.8095238095239,0.193
GRC,Greece,capitalist_periphery,9803.238095238095,0.959
GTM,Guatemala,capitalist_periphery,4774.761904761905,0.025
HKG,Hong Kong,capitalist_periphery,9846,0.913
HND,Honduras,capitalist_periphery,2583.285714285714,0.23
HTI,Haiti,capitalist_periphery,1704.4761904761904,0.036
HUN,Hungary,socialist,8150.190476190476,0.708
IDN,Indonesia,capitalist_periphery,2040.7619047619048,0.225
IND,India,capitalist_periphery,1338.952380952381,0.681
IRL,Ireland,capitalist_core,9963.904761904761,0.944
IRN,Iran,capitalist_periphery,6554.761904761905,0.081
IRQ,Iraq,capitalist_periphery,6285.380952380952,0.041
ISL,Iceland,capitalist_core,16531.52380952381,0.976
ISR,Israel,capitalist_periphery,12717.047619047618,0.785
ITA,Italy,capitalist_core,15147,0.923
JAM,Jamaica,capitalist_periphery,5327.380952380952,0.76
JOR,Jordan,capitalist_periphery,4636.0952380952385,0.722
JPN,Japan,capitalist_core,14251.42857142857,0.966
KEN,Kenya,capitalist_periphery,1401.7619047619048,0.163
KHM,Cambodia,revolutionary,1110.047619047619,0.122
KOR,South Korea,capitalist_periphery,3337.953428952381,0.413
KWT,Kuwait,capitalist_periphery,36891.380952380954,0.85
LAO,Laos,revolutionary,885.8095238095239,0.098
LBN,Lebanon,capitalist_periphery,6143.952380952381,0.442
LBR,Liberia,capitalist_periphery,4171.333333333333,0.136
LBY,Libya,capitalist_periphery,5602.619047619048,0.121
LKA,Sri Lanka,capitalist_periphery,2335.6666666666665,0.576
