iso,Country Name,1820,1821,1822,1823,1824,1825,1826,1827,1828,1829,1830,1831,1832,1833,1834,1835,1836,1837,1838,1839,1840,1841,1842,1843,1844,1845,1846,1847,1848,1849,1850,1851,1852,1853,1854,1855,1856,1857,1858,1859,1860,1861,1862,1863,1864,1865,1866,1867,1868,1869,1870,1871,1872,1873,1874,1875,1876,1877,1878,1879,1880,1881,1882,1883,1884,1885,1886,1887,1888,1889,1890,1891,1892,1893,1894,1895,1896,1897,1898,1899,1900,1901,1902,1903,1904,1905,1906,1907,1908,1909,1910,1911,1912,1913,1914,1915,1916,1917,1918,1919,1920,1921,1922,1923,1924,1925,1926,1927,1928,1929,1930,1931,1932,1933,1934,1935,1936,1937,1938,1939,1940,1941,1942,1943,1944,1945,1946,1947,1948,1949,1950,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018
ALB,Albania,1,1,1,1,1,1,1,1,0.995626816,0.98905572,0.992670125,0.998109442,1,1,0.996623539,0.999438761,1,0.996047494,0.99526282,0.997624407,1,0.998407025,0.99987504,1,1,1,1,1,1,1,1,1,1,1,1,0.999191673,1,1,1,1,1,0.993724088,0.997641588,0.97793135,0.962078342,1,0.993341563,0.950050925,0.924247972,0.94234464,0.931923715,0.930864719,0.929805723,0.928746728,0.927687732,0.926628736,0.925569741,0.924510745,0.92345175,0.922392754,0.921333758,0.920274763,0.919215767,0.918156771,0.917097776,0.91603878,0.914979784,0.913920789,0.912861793,0.911802797,0.910743802,0.905878796,0.901013791,0.896148786,0.891283781,0.886418776,0.881553771,0.87668877,0.87182376,0.866958755,0.86209375,0.855895817,0.849697883,0.84349995,0.837302017,0.831104083,0.82490615,0.818708217,0.812510283,0.80631235,0.80011442,0.792728634,0.785342851,0.777957068,0.772644958,0.767332849,0.76202074,0.75670863,0.751396521,0.746084411,0.740772302,0.735460193,0.730148083,0.724835974,0.719523865,0.714211755,0.708899646,0.703587536,0.698275427,0.692963318,0.690055742,0.687148167,0.684240592,0.681333016,0.678425441,0.675517866,0.67261029,0.669702715,0.66679514,0.663887564,0.660979989,0.658072414,0.655164838,0.652257263,0.6493497,0.6464421,0.6435345,0.640626962,0.637719387,0.634811811,0.631904236,0.602597098,0.601694242,0.577453244,0.556266859,0.51507491,0.5080108,0.4497488,0.4176862,0.385442271,0.3555342,0.344890841,0.32707496,0.3011333,0.274042495,0.2535499,0.2337373,0.2079624,0.1919316,0.1769528,0.1572633,0.139664,0.1218557,0.1063727,0.1057228,0.1053938,0.1041747,0.1018997,0.1010442,0.09945646,0.09363276,0.08991434,0.08796528,0.08567627,0.08415629,0.08080787,0.07904875,0.07805313,0.07693653,0.0751629,0.0733524,0.1949818,0.004794149,0.005067833,0.004079184,0.003779202,0.001144284,0.006169456,0.007090749,0.00318108,0.00140229,0.00127132,0.002198555,0.002440448,0.002219536,0.001559858,0.000832438,0.000598843,0.000295247,0.000832023,0.001298798,0.001418522,0.003096235,0.003096235,0.002358703,0.002358703,0.002358703,0.001769613,0.001769613
DZA,Algeria,0.452070915,0.451048138,0.45002617,0.44899846,0.447971198,0.446935294,0.445899268,0.444865095,0.443825829,0.44278437,0.441744138,0.440698416,0.43965352,0.43860609,0.437554742,0.436502077,0.4354406,0.43438295,0.433326878,0.432265518,0.431205315,0.430142781,0.42907658,0.428011153,0.426941041,0.425869916,0.42480214,0.423727078,0.422653456,0.421575755,0.420498426,0.419420217,0.418337473,0.417256834,0.416171185,0.415082262,0.413991359,0.412902028,0.41181325,0.410723822,0.409629978,0.408538462,0.407442048,0.406344373,0.405248601,0.404143551,0.403042741,0.401943386,0.400839703,0.399738545,0.398632578,0.396747826,0.394855502,0.392975199,0.391089742,0.389213646,0.387336408,0.385464256,0.383589424,0.381716081,0.379845,0.377977225,0.376109705,0.374248378,0.372379321,0.370521261,0.36865546,0.366806462,0.36494604,0.363094008,0.361239067,0.359385018,0.35753111,0.35567979,0.353830338,0.351986417,0.350136987,0.34830105,0.346451795,0.344612661,0.34276577,0.3409289,0.339088997,0.337251381,0.335413628,0.333576296,0.331740608,0.329909961,0.328076712,0.326247945,0.3244136,0.322586665,0.320752014,0.318926841,0.319407626,0.319747038,0.319960113,0.320029134,0.319917246,0.315279308,0.310657488,0.306043067,0.301434804,0.296838785,0.289789903,0.279706858,0.268683871,0.270824768,0.267459548,0.25104702,0.259440123,0.262232372,0.262686169,0.261482281,0.254318136,0.249593699,0.23684971,0.231829929,0.228338583,0.228871321,0.218174254,0.217827346,0.219007112,0.193791788,0.2161564,0.2232754,0.2074442,0.201531164,0.191874892,0.198829811,0.186081476,0.204106047,0.20281498,0.19005562,0.194792485,0.195241538,0.1933081,0.2002064,0.1941507,0.18424499,0.1906296,0.201133299,0.194110713,0.1863657,0.193406329,0.1992491,0.1885822,0.1835279,0.1832488,0.164221,0.1441751,0.1632457,0.1417283,0.1335508,0.1030421,0.1115892,0.102656,0.09004772,0.09346034,0.08046225,0.06238969,0.05428582,0.05325693,0.04984612,0.01996358,0.02335627,0.02535111,0.03148039,0.01959757,0.02436205,0.009061251,0.004531037,0.0151065,0.01740371,0.01994705,0.02508474,0.02734352,0.02916199,0.02749959,0.02488447,0.02300577,0.01959522,0.01735246,0.01526779,0.01278185,0.01051765,0.009007653,0.008102415,0.006496953,0.00502623,0.004023905,0.00313255,0.002968871,0.002833228,0.002743788,0.002663318,0.002634316,0.002473542,0.002499674
AGO,Angola,0.921239809,0.854593897,0.8842393,0.88068828,0.877137268,0.873586255,0.870035241,0.868107989,0.866180737,0.86425348,0.884273978,0.904294472,0.90671489,0.909135309,0.911555727,0.913976146,0.916396565,0.918816983,0.921237402,0.92365782,0.926078239,0.933893686,0.94170913,0.949524581,0.959736464,0.969948348,0.98016023,0.990372114,0.981300529,0.972228943,0.963157357,0.907410453,0.888677713,0.858483703,0.870894195,0.83884381,0.92706544,0.860615689,0.91457573,0.902665351,0.88867454,0.912118427,1,1,0.894327251,1,1,0.999552939,0.995087863,1,0.984463948,0.983336274,0.819096968,0.887874393,0.908065803,0.85730683,0.800235612,0.828611674,0.839236519,0.784647958,0.704076312,0.733331621,0.761250436,0.894043287,0.936838013,1,1,0.968698905,0.89934907,0.903911996,0.898043333,0.873575905,0.88833515,0.893786285,0.910220423,0.827372185,0.801769202,0.842354,0.733705989,0.812518652,1,1,0.968305138,0.784577756,0.787092243,0.748381128,0.703665136,0.718454912,0.869046991,0.843138512,0.99582601,0.997258382,0.998621985,1,1,1,1,1,1,1,1,1,1,1,1,0.988963793,0.979412286,0.97300075,0.944815272,0.957158139,0.974084149,0.990638229,1,0.966283762,0.916785041,0.86594981,0.818879901,0.783801443,0.796182484,0.767711669,0.735521263,0.698119727,0.687929073,0.698768015,0.6861963,0.6623625,0.6324569,0.625816775,0.623481267,0.616638925,0.577510081,0.572273033,0.570218653,0.568332249,0.565657916,0.561998673,0.5598044,0.558118,0.5571441,0.555568092,0.5494611,0.553672167,0.545234163,0.5443338,0.538336729,0.5367602,0.5359926,0.5365543,0.5330593,0.5242293,0.514101,0.4977751,0.5074385,0.4839612,0.4824202,0.3767884,0.427259,0.4332982,0.424328,0.4252441,0.5092466,0.5441061,0.5409246,0.5387654,0.5436375,0.463797,0.4691896,0.4756601,0.5413125,0.5427275,0.5384476,0.3804378,0.2386657,0.5896624,0.3151239,0.3792433,0.4285361,0.4749436,0.6471704,0.3402574,0.302482,0.3657125,0.2328311,0.1948394,0.2079852,0.1885057,0.165352275,0.138049,0.3965146,0.3639593,0.3609107,0.3361238,0.3085196,0.2889166,0.2470977,0.2466853,0.2341975,0.2300914,0.2210763
ARG,Argentina,0.627247191,0.620031376,0.61281556,0.60559974,0.598383929,0.591168114,0.583952298,0.576736483,0.569520667,0.56230485,0.555089036,0.547873221,0.54065741,0.53344159,0.526225775,0.519009959,0.511794144,0.504578328,0.497362513,0.490146697,0.482930882,0.475715066,0.46849925,0.461283435,0.45406762,0.446851805,0.43963599,0.432420174,0.425204358,0.417988543,0.410772727,0.414758216,0.418743705,0.422729194,0.426714682,0.430700171,0.43468566,0.438671149,0.44265664,0.446642126,0.450627615,0.456338796,0.462049976,0.467761157,0.473472337,0.479183518,0.484894699,0.490605879,0.49631706,0.50202824,0.507739421,0.495481815,0.483224209,0.470966604,0.458708998,0.446451392,0.441975771,0.407143465,0.432718287,0.42191065,0.434860789,0.433532833,0.347459913,0.311827843,0.294886285,0.250113217,0.257480392,0.246505256,0.210779988,0.201095693,0.231812796,0.256347365,0.20649806,0.198785254,0.167965616,0.150745891,0.139820863,0.20696706,0.195131878,0.16300275,0.212119114,0.215157501,0.236745059,0.21105729,0.196379468,0.176981815,0.177427308,0.185049533,0.174340798,0.174808627,0.17009216,0.171968382,0.159311219,0.162836727,0.195076261,0.197647488,0.191658349,0.200822093,0.196660941,0.163706545,0.179006765,0.207718469,0.169031192,0.135791317,0.112556406,0.107203179,0.116449839,0.107900017,0.096096017,0.097347308,0.12061117,0.112855616,0.094847605,0.123771045,0.063161097,0.069513077,0.075935143,0.05918211,0.062151289,0.05829247,0.057587826,0.062444204,0.048567004,0.039521857,0.03251534,0.04056376,0.02932736,0.017983046,0.012470397,0.013279247,0.018708455,0.02198531,0.013525759,0.00716088,0.010269002,0.008919766,0.00779369,0.008210528,0.008257716,0.015329619,0.01342404,0.008663071,0.005130615,0.00296077,0.001847465,0.001391195,0.002043716,0.005004578,0.002615967,0.00229661,0.001322928,0.000277048,0.000280468,0.000103134,2.53E-05,0.000918258,0.00429686,0.01993033,0.0361516,0.02271163,0.02399351,0.02355223,0.02552077,0.01319359,0.003768587,0.001860422,0,0.008120833,0.007789866,0.01913233,0.02324448,0.01718449,0.03641734,0.04359443,0.03897425,0.0701795,0.07872028,0.07425949,0.07985293,0.07479045,0.08954053,0.1308033,0.1987901,0.1262198,0.101683,0.08655511,0.07144211,0.05148167,0.0390921,0.02927979,0.0243284,0.008084215,0.005924226,0.004499812,0.006125966,0.005225796,0.005189963,0.0059918,0.004648843
ARM,Armenia,1,1,1,1,1,1,1,1,0.995626816,0.98905572,0.992670125,0.998109442,1,1,0.996623539,0.999438761,1,0.996047494,0.99526282,0.997624407,1,0.998407025,0.99987504,1,1,1,1,1,1,1,1,1,1,1,1,0.999191673,1,1,1,1,1,0.993724088,0.997641588,0.97793135,0.962078342,1,1,1,0.980796126,1,1,1,1,1,1,1,1,1,1,1,0.951356768,1,0.943667636,0.946389299,0.96866548,0.911946512,0.920094887,0.884460921,0.894196074,0.910819156,0.91176118,0.928956249,0.911169591,0.881384331,0.844379745,0.867475317,0.838295974,0.84367765,0.835267833,0.815086207,0.822676897,0.814119983,0.783366662,0.809974334,0.772013045,0.817480346,0.83292805,0.84564922,0.816565322,0.803134626,0.77850555,0.808153499,0.779343842,0.759780407,0.778057341,0.766958927,0.810555053,0.852225078,0.952974951,0.968582503,0.967897605,0.974922332,0.96128515,0.943415293,0.90036488,0.842522521,0.805416662,0.791262258,0.773088323,0.768886661,0.751999086,0.748270601,0.754297292,0.739041636,0.700850707,0.637154463,0.602914124,0.559946413,0.558990911,0.535373986,0.555670538,0.563984582,0.572298625,0.580612669,0.5889267,0.5972408,0.6055548,0.543712216,0.470031534,0.415605124,0.366531365,0.364137056,0.328687368,0.304649725,0.277888446,0.233945687,0.1885281,0.1772996,0.1441258,0.146080178,0.1082932,0.090336934,0.082147484,0.08840997,0.0550726,0.0425204,0.03299033,0.02532934,0.01747294,0.0143646,0.007837302,0.007521301,0.008179071,0.005589753,0.006332148,0.007074543,0.007816938,0.008559332,0.009301727,0.01004412,0.01078652,0.01006001,0.009384902,0.009816514,0.008895244,0.008106106,0.01189363,0.01839867,0.02605233,0.008298256,0.01693811,0.05231508,0.3193476,0.3856201,0.3410621,0.5558431,0.5643337,0.6131668,0.6788985,0.614036,0.6210014,0.6177729,0.6273221,0.6221402,0.4781465,0.3823473,0.3472191,0.3032282,0.3167333,0.3353211,0.3543565,0.3351262,0.3132508,0.3104298,0.3061349,0.2741682,0.271558,0.2685778,0.2404522
AUS,Australia,0.869161677,0.866616314,0.85866261,0.84863222,0.831777108,0.816216216,0.809393939,0.798932927,0.789723926,0.76917178,0.687424242,0.672522523,0.66213018,0.660315186,0.636581921,0.542178771,0.550953678,0.527345845,0.533505155,0.568486352,0.450357143,0.530691964,0.57688172,0.502224576,0.437966805,0.423785425,0.3749505,0.308011583,0.251579926,0.256336806,0.280495868,0.213679245,0.161126761,0.135597484,0.174069899,0.191098678,0.131971831,0.167344291,0.22101215,0.139601251,0.146266968,0.150594354,0.17042531,0.179601179,0.170289855,0.192493938,0.191789241,0.159289617,0.165954248,0.146038095,0.167521127,0.140916844,0.117057961,0.088855689,0.08626836,0.087128373,0.085247723,0.092372598,0.08745439,0.07880986,0.071586796,0.06386388,0.059324045,0.068190398,0.066575378,0.065485175,0.063232049,0.055706727,0.042952154,0.037219123,0.03342146,0.034871715,0.044506961,0.06276008,0.067814123,0.065220566,0.063064523,0.05873279,0.052232723,0.050881233,0.052015363,0.052932529,0.056669856,0.068814168,0.056904394,0.061073795,0.055438726,0.042775433,0.050208169,0.0473432,0.04274286,0.042164327,0.046582504,0.037461108,0.035944285,0.052123368,0.035192522,0.03478841,0.038198686,0.04621302,0.03968979,0.022301198,0.02195107,0.016723945,0.015778168,0.012052215,0.014889859,0.008595159,0.008923741,0.009474672,0.007798732,0.011300397,0.011930151,0.008255513,0.004105749,0.003925568,0.002505699,0.001583777,0.000920871,0.000851329,0.001216328,0.000382398,0.000146382,0.001229961,4.10E-05,6.09E-05,4.01E-05,0.000151755,0.000155541,0.000126279,0.003925245,0.000464105,0.000937752,0.00132084,0.001566637,0.00148755,0.002062941,0.001194276,0.00061523,0.000912949,0.001066499,0.000731201,0.007007874,0.000613581,0.000454627,0.000406504,0.00040755,0.000122136,0.000231367,0.000109056,8.29E-05,0,0,4.48E-05,0,7.26E-05,3.95E-05,0,0.000375465,0.001171821,0.001211002,0.01246238,0.01243127,0.009851558,0.009809821,0.01233795,0.009813878,0.0111446,0.01054793,0.009951255,0.009947265,0.009943275,0.009939286,0.009935296,0.01183856,0.01480217,0.01221465,0.01221328,0.01221191,0.01221053,0.01220916,0.01220779,0.01359867,0.01498956,0.009958957,0.009340637,0.008722317,0.009637984,0.007485677,0.008740247,0.009994817,0.011242383,0.012489949,0.01373751,0.01498508,0.01498508,0.01498508,0.01747564,0.01747564
AUT,Austria,0.517779757,0.506153938,0.49452812,0.4829023,0.471276484,0.459650666,0.448024848,0.43639903,0.424773212,0.41314739,0.401521575,0.391624172,0.38172677,0.371829365,0.361931962,0.352034559,0.342137155,0.332239752,0.322342349,0.312444945,0.302547542,0.292199117,0.28185069,0.271502267,0.261153842,0.250805417,0.24045699,0.230108566,0.219760141,0.209411716,0.199063291,0.196375852,0.193688413,0.191000974,0.188313535,0.185626097,0.182938658,0.180251219,0.17756378,0.174876341,0.172188902,0.170719791,0.169250679,0.167781568,0.166312456,0.164843345,0.163374233,0.161905122,0.16043601,0.158966899,0.157497788,0.137627028,0.13817702,0.148958567,0.137822526,0.139304968,0.135212699,0.127858671,0.120972205,0.125731068,0.124369561,0.115616951,0.116472366,0.108037635,0.103654169,0.107626791,0.101798158,0.088045368,0.090612295,0.094945587,0.084985169,0.079729343,0.077529978,0.078464228,0.069588047,0.066753081,0.066012546,0.06423491,0.056923497,0.055385038,0.05572158,0.056851201,0.052667323,0.053016385,0.052385196,0.046309599,0.042867705,0.037141333,0.037851658,0.03945916,0.03905201,0.036630979,0.032529595,0.033736959,0.05778519,0.071893541,0.073869597,0.077137067,0.079732422,0.10833567,0.092477924,0.072931811,0.058671569,0.060793749,0.045275983,0.037879824,0.036487051,0.033803186,0.029850971,0.028923394,0.031844704,0.041198136,0.056518364,0.062587756,0.061631361,0.058637036,0.05418245,0.046946928,0.033212202,0.021702164,0.024187919,0.019917643,0.023880584,0.022489351,0.0210998,0.200917,0.1555929,0.124525534,0.079711903,0.045822195,0.10224225,0.261016583,0.234896074,0.14684146,0.174785303,0.171117029,0.1610975,0.1529565,0.1513783,0.141854862,0.1363843,0.134891335,0.127704067,0.1254571,0.111972591,0.1005914,0.09141355,0.09541006,0.08802832,0.07550195,0.06901031,0.05018667,7.29E-05,0.000290008,0.000184235,0.000151735,0.000594766,0,0,0,0,0.000508923,3.96E-05,0,0.000112523,0.001203704,0.000158562,0,1.97E-05,0.000458836,0.005438301,0.0251471,0.001610865,0,1.87E-05,1.86E-05,0,0,0,0,0,0,6.11E-06,0.007456229,0.002344289,0.004659875,0.004859961,0.007430534,0.009927884,0.009904312,0.009830053,0.0124135,0.01190362,0.007205105,0.007389956,0.01244858,0.01244858,0.01244858,0.01244858
BGD,Bangladesh,0.682575358,0.682385474,0.68216274,0.68192735,0.681990603,0.681604105,0.681026076,0.680753417,0.680640682,0.68058104,0.680430625,0.680285508,0.68049223,0.68050072,0.680523637,0.680930299,0.681253199,0.68117978,0.681408191,0.681728497,0.681656283,0.681903447,0.6819447,0.682120364,0.682351938,0.682714404,0.68290299,0.683009578,0.682899498,0.683103954,0.683268203,0.68324433,0.685908149,0.688284363,0.690954163,0.693274126,0.695484091,0.698173097,0.70036158,0.702841168,0.705299579,0.707741552,0.710483952,0.712874178,0.715338521,0.717624669,0.719932305,0.722164486,0.724723852,0.727180938,0.732504558,0.730971063,0.729368752,0.727878667,0.726417943,0.724601025,0.723036871,0.72135763,0.719852485,0.718156317,0.714618374,0.712013957,0.710877315,0.709407623,0.70685679,0.69285278,0.708228377,0.686170337,0.68204231,0.695622303,0.67273713,0.720664115,0.683255314,0.671006246,0.664380111,0.677431659,0.716099747,0.63229536,0.632221818,0.673595583,0.65673453,0.649553391,0.612046302,0.605781641,0.608423138,0.621378728,0.609793148,0.644651009,0.639827745,0.574741613,0.57435949,0.578031166,0.578516308,0.588491872,0.561214838,0.575383915,0.558433774,0.567735737,0.63760394,0.570482758,0.615241075,0.582441573,0.563829583,0.586973864,0.564805792,0.563223969,0.54972261,0.553005117,0.551597827,0.534686813,0.537583268,0.551842448,0.556021518,0.564528294,0.56767377,0.581793124,0.568613656,0.582257912,0.590270137,0.587743277,0.579289452,0.578999804,0.59086472,0.583592146,0.5989224,0.6165219,0.6510162,0.661252947,0.662056854,0.65867647,0.660031547,0.658519441,0.651389304,0.652210774,0.652566213,0.691010146,0.6481227,0.6683205,0.6888717,0.67243495,0.6692891,0.664895259,0.664852649,0.6144545,0.632642902,0.6319936,0.6214542,0.624579,0.5638368,0.5425126,0.5343727,0.6157961,0.7960702,0.7814086,0.7721465,0.6558757,0.6308708,0.8081897,0.7187845,0.5893886,0.7079239,0.5604533,0.6903558,0.7154142,0.670229,0.6919702,0.7104571,0.6892215,0.7497965,0.7497192,0.7170462,0.7596935,0.7438803,0.7006651,0.7186375,0.7262497,0.7164319,0.7123109,0.777047,0.785223,0.7750036,0.7550888,0.7421989,0.7226642,0.689833,0.6842448,0.65955566,0.611126,0.58240376,0.5481322,0.5097804,0.507254417,0.506363233,0.503318,0.504026033,0.4974156,0.5004191,0.4061787,0.3422305
BEL,Belgium,0.75287887,0.744823925,0.7457747,0.74054199,0.732797077,0.736588349,0.735191028,0.734281823,0.733816691,0.73050237,0.731495618,0.728290693,0.72492148,0.724461111,0.716595893,0.700996922,0.705997795,0.712462607,0.703292713,0.707917347,0.709168594,0.702327741,0.7087699,0.707159874,0.696488267,0.687563265,0.69634544,0.683175629,0.684706017,0.677688294,0.667104967,0.659871007,0.652838438,0.646015659,0.627010739,0.626807491,0.610050855,0.603107396,0.60311111,0.60543896,0.590021097,0.587219837,0.580438761,0.505692093,0.488120516,0.48939471,0.457985859,0.552201163,0.495027872,0.462041161,0.456750392,0.453258804,0.400345785,0.403150576,0.399649261,0.427719709,0.461082454,0.462257447,0.45286003,0.451642649,0.391615318,0.389849736,0.385104883,0.396750871,0.404262097,0.403722163,0.385065045,0.387975432,0.371382197,0.364237316,0.364649731,0.37023037,0.37490054,0.367190476,0.373398331,0.359375434,0.341283047,0.32993763,0.330975645,0.320063123,0.356026116,0.383280323,0.372649954,0.367481928,0.310039812,0.312843572,0.330441183,0.327475936,0.355021696,0.35405822,0.34333156,0.35832639,0.370798488,0.345905021,0.233331402,0.269873017,0.380743908,0.579078794,0.648797925,0.414685163,0.473474785,0.42044208,0.392682952,0.377776514,0.37126843,0.397562939,0.384312515,0.374907442,0.321413615,0.286385707,0.253864478,0.22989991,0.168871942,0.178195671,0.164068138,0.243771546,0.246931249,0.225652152,0.216166536,0.170112692,0.414811772,0.7901557,0.243321092,0.290469546,0.6596085,0.03811123,0.02270911,0.080170752,0.053506458,0.052599865,0.041683065,0.077235538,0.081619702,0.135815676,0.108868352,0.154465494,0.1449328,0.1356269,0.1312073,0.132091388,0.1194539,0.093352608,0.075366674,0.0583055,0.047928899,0.03202794,0.0887358,0.2129918,0.1675078,0.01300322,0.02373418,0.01747312,0.02820064,0.04170261,0.009848485,0.000847371,0.02039547,0.006500713,0.001312309,0.000127071,1.52E-05,2.03E-05,1.52E-05,1.01E-05,1.01E-05,0,0,0,0,0,0,0,0,4.96E-06,0,0,0,0,0,4.88E-06,4.87E-06,4.86E-06,4.84E-06,0.004962496,0.002235544,0.002313465,0.002499126,0.00249656,0.002492924,0.002257645,0.004894479,0.004971855,0.002432163,0.002473494,0.002434656,0.002423116,0.002423116,0.002423116,0.002423116
BLZ,Belize,0.996996816,0.999171684,0.99940224,0.99949171,1,0.999926792,1,1,0.999986909,0.99987182,0.999774449,1,0.99906862,0.998709912,0.998286487,0.998110356,0.99858237,0.998289598,0.99907685,1,1,0.999397191,0.99882977,0.999724597,1,0.99983545,1,1,1,1,1,0.995139832,0.997771744,0.999422698,1,0.999062481,1,1,0.99936726,1,0.997778205,0.996817428,1,1,1,1,1,1,1,0.997626156,1,1,0.99913245,1,1,0.998012142,0.996293697,0.99973947,0.999286366,0.995070465,1,1,1,1,0.992045045,1,0.996757724,1,1,0.999882324,0.983972718,0.976699038,0.989618451,1,1,0.982904598,0.995960384,0.99597245,0.982774581,0.99108752,1,0.99190719,1,1,1,1,1,1,1,0.98326027,0.97697834,0.974318324,0.971233794,0.985651995,1,1,1,0.995143864,1,0.991718916,0.938437436,1,1,0.939638739,0.963601345,0.937921527,0.976292462,0.973266899,0.917241473,0.925369835,0.948679984,0.989406557,1,1,0.977020209,0.959733243,0.942189139,0.997135352,1,1,1,0.945869518,1,0.976901816,0.9866799,1,0.965463,1,1,0.967045145,0.967769405,0.93638249,0.939993805,0.971226909,0.941745,0.929247973,0.9201175,0.9905525,0.9899459,1,0.996697,1,0.914652436,0.9142487,0.902348143,1,1,1,0.9818393,1,1,1,1,0.9749985,0.820764,0.6821046,0.6253233,0.6091505,0.5289218,0.5125883,0.3813985,0.4077671,0.4448106,0.4874193,0.5175158,0.4418951,0.4169463,0.3802293,0.5046921,0.4675879,0.472857,0.4448106,0.1226027,0.2410371,0.2172253,0.1805458,0.2230207,0.259105,0.2514949,0.2023821,0.1982684,0.1826407,0.1764907,0.1764907,0.1801328,0.1856063,0.2004688,0.20066,0.189947959,0.1820925,0.171703831,0.160361187,0.143188758,0.1389958,0.189226434,0.1614209,0.160314,0.1850822,0.1435992
