iso,Country,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020
ABW,Aruba,,,,,,,,,,,,,,,,,,,,,,,,,,,17231.38,20262.94,24343.26,27313.5,27884.25,28953.52,29031.74,29324.79,29989.02,29367.31,28684.56,29901.36,29857.56,29640.05,31245.72,29656.1,28051.12,28008.5,29695.49,29670.29,29743.53,30160.53,30092.74,26903.17,25857.49,26647.64,26150.64,27090.03,27011.32,28396.91,28847.81,29286.25,,,
AFG,Afghanistan,532.2694324,525.4454653,522.6355963,521.0299567,518.220088,517.8186784,510.5933017,512.600351,517.818679,513.0017608,510.5933017,496.5439578,404.2196971,405.8253365,417.0648117,431.1141558,443.5578606,410.2408449,429.5085167,410.6422546,409.0366155,459.2128442,509.7904826,540.6990393,536.684941,523.4384167,539.4948101,486.107303,441.9522221,401.0084194,386.5576655,353.7104753,338.7398598,232.1765467,171.9738287,254.0684961,240.9162502,229.0436933,218.7839124,208.1943654,201.6573578,196.5631664,319.85,332.22,322.67,345.93,353.72,392.71,398.97,472.84,526.1,512,557.95,568.96,565.18,556.01,553,553.36,546.74,555.14,529.74
AGO,Angola,4627.617341,5155.958229,4931.181621,5098.02611,5577.704021,5895.172008,6131.535039,6379.484493,6175.563448,6245.081988,6530.107992,6381.801776,6323.869662,6608.895669,6319.235094,3962.556658,3524.589869,3475.926893,3545.445431,3538.493578,3550.08,3276.36,3162,3179.35,3252.11,3248.61,3226.82,3242.58,3323.53,3212.66,2998.78,2929.48,2669.43,1964.39,1927.5,2146.46,2360.09,2451.61,2485.07,2458.1,2451.51,2471.66,2717.44,2705.71,2900.17,3220.08,3464.23,3806.85,4077.78,3963.25,3988.62,3979.82,4167.13,4220.96,4272.46,4166.98,3924.62,3790.79,3595.11,3458.65,3168.25
ALB,Albania,1076.129277,1084.969077,1120.793528,1158.944241,1198.490712,1242.224457,1288.749718,1338.066494,1385.987512,1432.978026,1486.016823,1545.569157,1605.586743,1685.610191,1692.123728,1697.70676,1705.150802,1712.594844,1719.573634,1728.878685,1740.51,1804.01,1818.37,1799.88,1740.35,1735.29,1798.01,1748.58,1691.53,1808.65,1606.3,1163.49,1086.44,1197.58,1305,1488.02,1633.55,1464.3,1603.65,1821.87,1960.88,2143.53,2247.5,2380.64,2522.45,2675.51,2851.37,3044.9,3298.48,3432.17,3577.11,3678.05,3736.34,3780.7,3855.76,3952.8,4090.37,4249.8,4431.54,4544.52,4390.06
AND,Andorra,,,,,,,,,,,35391.07,35159.47,36166.41,37123.26,37504.74,36246.68,36175.32,36081.66,35551.74,34462.49,34014.49,32669.46,31709.3,30896.95,30084.57,29480.35,29178.54,29564.82,29854.8,30091.25,30051.18,29642.71,28792.2,27517.55,27408.28,27641.89,28701.09,31325.52,32416.01,33625.24,34267.58,35974.88,36158.59,37620.21,39042.96,39782.93,40602.54,40391.87,37610.56,35362.7,34667.17,34956.6,33750.06,33220.56,34721.89,35770.78,37432.76,37707.68,38301.3,39003.38,34288.54
ARE,United Arab Emirates,87611.95376,90530.06543,94707.54687,97733.46455,100276.7055,102182.9111,103427.5801,103924.9576,103003.7066,99571.06651,95886.06231,96878.36732,96878.36732,97194.43484,111106.3055,99453.46,99607.01,104936.66,90889.8,98553.3,111574.3,108563.21,95338.02,86108.8,85032.98,77644.44,62368.04,60813.5,55816.17,59119.78,66023.65,62854.09,61294.56,58633.31,59364.71,60169.07,60548.58,62264.93,59297.94,57875.09,60716.27,58421.86,56815.08,57932.25,57910.23,53844.72,51197.36,45388.68,40755.11,34580.21,32534.82,33246.14,33996.54,35495.77,36995.7,38663.4,39400.02,39798.52,39670.93,40438.34,37497.59
ARG,Argentina,7362.53,7637.07,7451.8,6945.96,7532,8202.11,8026.88,8161.6,8429.87,9108.5,9243.26,9613.68,9614.24,9725.47,10100.07,9939.7,9591.17,10103.63,9505.86,10321.24,10318.18,9630.12,9407.87,9660.19,9655.18,9009,9412.99,9517.11,9269.36,8477.67,8149.24,8769.75,9338.7,9974,10423.38,10003.09,10430.68,11146.72,11445.56,10935.64,10730.61,10146.11,8943.31,9629.84,10389.15,11192.18,11970.66,12919.24,13310.62,12398.28,13551.34,14200.27,13895.63,14071.51,13567.95,13789.06,13360.21,13595.04,13105.4,12712.97,11344.41
ARM,Armenia,,,,,,,,,,,,,,,,,,,,,1585.984943,1629.855153,1674.408169,1683.967438,1737.90902,1789.802187,1774.268378,1670.994145,1587.691954,1796.630235,1650.51,1471.09,871.7,813.83,878.53,958.51,1030.46,1076.63,1164.28,1210.36,1289.88,1422.48,1619.11,1855.6,2062.2,2364.18,2697.02,3093.37,3335.24,2884.34,2958.84,3098.74,3312.98,3406.54,3511.23,3607.29,3601.47,3860.22,4051.38,4350.47,4021.05
ASM,American Samoa,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12609.37,12641.67,12653.28,12628.51,12202.74,12586.72,12439.15,12092.28,12256.34,12328.67,11812.46,11507.23,11694.55,12059.64,11871.36,11066.06,11393.61,11368.57,11839.01
ATG,Antigua and Barbuda,,,,,,,,,,,,,,,,,,5570.43,5826.24,6306.14,6830.4,7099.24,7094.3,7474.97,8234.13,8863.38,9887.09,10549.25,11091.12,11626.78,11876.2,11975.74,11908.49,12286.03,12828.61,12006.52,12525.17,12928.44,13260.49,13484.19,14069.51,13220.04,13170.63,13792.5,14399.82,15122.19,16785.75,18062.47,17771.19,15401.97,13986.84,13525.44,13802.71,13554.4,13908.99,14285.33,14919.21,15242.37,16146.59,16786.45,13285.64
