iso,1950,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
MAR,284.324,282.573,278.393,274.327,270.225,265.979,261.573,256.201,251.177,246.27,246.23,236.669,231.846,226.93,221.579,216.224,210.608,204.753,199.24,194.267,189.763,185.438,181.358,177.236,172.711,167.62,161.535,154.944,148.25,141.118,133.986,127.399,120.634,114.263,108.485,102.631,97.185,92.452,88.156,83.986,80.178,76.78,73.704,70.549,67.372,64.867,61.521,59.032,56.597,54.218,51.938,49.644,47.547,45.452,43.542,41.217,39.063,36.714,34.588,32.666,30.963,29.215,27.654,26.015,24.536,23.207,22.035,20.969,20.069,19.308,18.608,17.919
ABW,108.854,105.071,97.797,91.112,84.965,79.368,74.322,69.821,65.848,62.373,59.352,56.719,54.389,52.276,50.309,48.418,46.551,44.717,42.919,41.141,39.392,37.699,36.097,34.61,33.238,31.963,30.754,29.588,28.447,27.34,26.297,25.358,24.56,23.924,23.447,23.112,22.888,22.731,22.599,22.473,22.342,22.207,22.083,21.978,21.887,21.809,21.735,21.66,21.569,21.458,21.312,21.119,20.876,20.585,20.25,19.883,19.494,19.097,18.709,18.337,17.985,17.657,17.344,17.042,16.749,16.462,16.182,15.906,15.634,15.367,15.1,14.833
AFG,419.402,416.305,409.863,403.358,397.81,390.262,383.832,377.111,370.186,363.701,357.616,351.383,345.698,340.174,334.601,329.287,323.612,318.288,312.741,307.286,301.733,296.198,290.716,284.86,279.133,273.329,267.614,261.619,262.146,264.25,258.406,252.334,260.905,255.462,280.547,276.086,239.151,233.433,210.158,201.208,194.103,187.754,178.044,161.813,155.243,150.96,145.936,142.748,140.913,134.012,129.845,125.997,122.292,116.546,112.37,108.691,104.598,99.85,95.618,92.92,89.278,85.219,81.617,78.238,76.299,73.938,70.645,64.281,61.869,60.503,59.44,57.932
AGO,333.403,332.45,330.582,328.561,326.417,324.024,321.566,318.938,316.14,313.13,309.933,306.587,303.092,299.421,295.605,291.678,287.652,283.688,279.609,275.521,271.452,267.403,263.305,259.405,255.615,255.251,253.379,250.062,246.908,244.007,241.342,238.607,235.898,238.576,236.391,234.081,232.393,240.959,237.859,236.755,236.075,227.622,236.379,227.837,222.149,221.443,219.843,217.105,219.801,211.814,209.738,201.237,196.982,183.553,174.98,165.859,157.219,147.058,137.556,128.569,120.065,112.285,104.609,98.334,92.693,88.038,83.955,80.332,77.122,74.148,71.374,68.847
AIA,136.32,134.002,129.336,124.638,120.069,115.618,111.212,106.885,102.561,98.293,101.225,90.288,86.406,82.573,78.84,75.101,71.45,67.847,64.296,60.793,57.392,54.057,50.812,47.702,44.649,41.819,39.125,36.493,33.965,31.613,29.506,27.732,26.289,25.216,24.453,23.926,23.418,22.774,21.935,20.904,19.731,18.535,17.393,16.49,15.795,15.27,14.874,14.495,14.057,13.55,12.976,12.354,11.73,11.148,10.629,10.188,9.829,9.542,9.317,9.146,9.018,8.924,8.85,8.786,8.717,8.636,8.535,11.608,8.288,8.141,7.985,7.821
ALB,304.05,300.549,293.454,285.703,277.239,268.085,258.242,247.71,236.553,224.931,212.989,200.948,189.083,177.328,166.07,155.413,145.295,135.608,126.203,117.213,108.688,100.732,93.376,86.767,81.006,76.079,72.028,68.784,66.218,64.284,62.587,61.194,59.879,58.519,56.997,55.367,53.264,51.098,48.834,46.511,44.188,41.921,39.805,37.694,35.876,34.124,32.581,33.363,29.835,28.573,27.287,25.906,24.53,23.046,21.55,20.096,18.609,17.186,15.817,14.517,13.294,12.173,11.203,10.443,9.9,9.572,9.435,9.436,9.539,9.795,9.855,9.985
AND,66.969,69.222,49.3,44.735,38.39,39.495,39.192,40.089,29.996,30.507,27.388,27.092,25.961,26.831,24.556,22.693,22.539,22.756,21.941,23.709,19.695,21.267,17.932,18.702,17.947,17.449,16.877,15.991,15.742,14.842,13.949,13.677,12.69,13.161,12.676,12.848,12.422,12.19,12.26,12.346,11.393,11.949,9.195,11.033,7.288,10.625,9.058,8.596,10.049,8.22,8.636,7.734,7.442,6.081,9.551,7.84,6.931,7,6.99,6.978,6.97,6.963,6.949,6.934,6.922,6.917,6.903,6.888,6.875,6.862,6.85,6.702
ARE,295.386,291.218,281.568,272.426,262.579,252.921,243.179,233.236,223.13,213.034,202.865,192.564,182.294,172.326,160.078,149.272,138.413,127.725,117.303,107.246,97.417,88.546,80.257,72.594,65.742,59.494,53.712,48.432,43.617,39.327,35.489,32.146,29.258,26.787,24.727,22.918,21.334,19.95,18.736,17.656,16.686,15.824,15.074,14.387,13.796,13.264,12.794,12.36,11.98,11.637,11.326,11.033,10.76,10.494,10.239,10.001,9.779,9.57,9.345,9.092,8.829,8.574,8.335,8.132,7.942,7.756,7.565,7.356,7.142,6.933,6.722,6.512
ARG,87.852,86.589,84.187,82.035,80.128,78.477,77.066,75.906,75.314,74.235,73.682,73.262,72.918,72.567,72.136,71.526,70.659,69.424,67.824,65.956,63.837,61.445,58.957,56.477,54.03,51.625,49.486,47.525,45.38,43.286,41.478,39.649,38.119,36.733,35.483,34.355,33.274,32.281,31.329,30.399,29.48,28.567,27.669,26.79,25.933,25.095,24.277,23.482,22.712,21.967,21.253,20.556,19.878,19.229,18.6,17.993,17.405,16.836,16.284,15.75,15.232,14.729,14.239,13.763,13.303,12.863,12.447,12.058,11.699,11.367,11.061,10.781
ARM,140.235,139.013,136.566,134.136,131.729,129.345,126.99,124.656,122.348,120.06,117.794,115.541,113.308,111.098,108.91,106.745,104.61,102.51,100.458,98.462,96.55,94.721,93.004,91.406,89.909,88.475,87.05,83.466,80.08,76.801,73.684,70.682,67.89,65.196,62.657,60.167,57.823,55.532,93.461,51.14,49.06,46.961,45.072,42.978,41.015,39.094,37.288,35.582,33.904,32.294,30.736,29.245,27.804,26.435,25.135,23.841,22.639,21.469,20.364,19.322,18.326,17.392,16.533,15.68,14.886,14.168,13.425,12.738,12.111,11.516,10.957,10.439
