iso,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019
AFG,11.04395427,9.927564622,9.34397551,9.747330196,10.12601544,9.922702238,9.764524042,9.787014043,9.680776451,9.669131955,9.633376536,9.12246826,8.119795232,8.339034403,8.052217231,7.456500279,7.036736106,6.304771455,5.66604053,4.970335326,4.652993079,4.220186736,3.785893994,3.62260058,3.404104194,3.123471053,2.943577343,2.715609161,2.50785643,2.382697779
ALB,0.903991675,1.020129704,1.079830302,1.149131637,1.189149318,1.280362155,1.283683254,1.18984398,1.037220835,0.963152543,0.748244464,0.554764298,0.446322722,0.353051302,0.27894662,0.251285089,0.224277555,0.198359072,0.191364742,0.172844521,0.165161889,0.171274858,0.173354139,0.176718731,0.17859433,0.176861757,0.170588291,0.161610183,0.151400969,0.14253135
DZA,2.047734008,1.962369751,1.918075042,1.885493592,1.838291207,1.784525159,1.71631029,1.663081119,1.600204338,1.510567565,1.4340522,1.312427503,1.170250587,1.02319796,0.907291595,0.816853625,0.733159334,0.660753601,0.60010837,0.551560817,0.518399966,0.493045436,0.469063608,0.447234364,0.435253664,0.422050956,0.405605215,0.389678357,0.379908216,0.370480495
ASM,9.788450428,9.715869371,9.562169462,9.380025599,9.235084819,9.122612927,9.023400785,8.902717476,8.612671267,8.381156889,8.566913035,8.499171345,7.996556892,7.686569513,7.361643717,6.967246894,6.430859376,5.904961465,5.806676138,5.67429642,5.662835307,5.677213464,5.765120823,5.887923424,5.93413315,5.984320576,5.804856809,5.766863014,5.714424943,5.657952097
AND,0.083773349,0.082508781,0.082035853,0.080959515,0.082075,0.081384994,0.080296438,0.0798777,0.080191421,0.081067994,0.082254184,0.082609286,0.08326078,0.083523428,0.084675567,0.084958743,0.085504048,0.085499273,0.085841102,0.087303028,0.087928004,0.089163895,0.091238698,0.092523355,0.094007254,0.095790508,0.09534371,0.095097248,0.094285923,0.09405074
AGO,101.3155943,97.68867596,93.95916949,90.66153647,86.22369991,80.87540948,74.25706745,67.98485399,63.09294681,58.35762428,54.2689224,50.76660939,46.71393564,43.86365095,42.59974364,39.50563995,36.72002344,33.95503908,31.47890654,29.07097909,27.2833738,25.25954698,23.51300468,21.70844441,19.93492369,18.75788597,17.82698701,16.47671528,15.53562981,15.04315898
ATG,5.913970224,5.968491855,5.83647197,5.862577359,5.705619603,5.473311802,5.048599651,4.68139765,4.386747341,4.183919858,4.108320863,3.923087296,3.820270987,3.684872097,3.622758781,3.480896136,3.417056445,3.708533744,3.628214943,3.349095252,3.286886397,3.208669993,3.04417507,3.040009437,3.279729558,3.436863391,3.533014835,3.378060872,3.289976296,3.2255611
ARG,4.053264866,3.995125222,3.95568879,3.865230543,3.792811692,3.946951169,4.117896704,4.394592179,4.620524068,4.705701969,4.584928669,4.563434897,4.716585182,4.572247038,4.151554364,3.738787405,3.465425923,3.323226224,3.030639175,2.848954333,2.730607882,2.596200429,2.474280072,2.386392594,2.298465504,2.28538296,2.328354342,2.359646671,2.314797909,2.31045096
ARM,0.724316177,0.732878347,0.835739209,0.863110684,0.819765646,0.756846347,0.70484407,0.650462257,0.626854803,0.602041571,0.539159587,0.479370442,0.398503955,0.311308971,0.193359033,0.130477878,0.085562384,0.070875541,0.061931214,0.055866111,0.05487037,0.050019543,0.04417047,0.034378161,0.038943914,0.042373518,0.042194843,0.042007823,0.042801615,0.043216087
AUS,0.26668561,0.26646343,0.278857321,0.297433638,0.316495993,0.325672756,0.338380271,0.346155874,0.358763107,0.368913085,0.373404839,0.369881971,0.37528059,0.368520256,0.36869414,0.349715936,0.335004136,0.326726886,0.319218108,0.309122435,0.305999249,0.295054539,0.287827625,0.276046703,0.281740463,0.282648941,0.282873979,0.279454786,0.280682079,0.279891195
