iso,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019
AFG,45.16895251,42.60216677,41.3280945,46.0626169,45.56662986,48.02533614,47.23159827,49.24847833,50.59726301,51.46852039,51.1823865,49.76472961,46.45488494,47.95986532,46.58179026,43.58237274,40.46976015,36.85218166,33.11974632,30.00072151,27.8618094,25.86169418,24.14252256,23.41336856,22.41377302,21.3715493,20.47159034,19.69276828,17.96737381,17.03137001
ALB,3.930537739,4.017727271,3.883320597,3.657187638,3.867597085,2.842141125,2.475578533,2.111954943,1.796710897,1.560782141,1.375723841,1.174139725,1.040980888,0.956206104,0.850638634,0.757825561,0.664200724,0.590916651,0.555720919,0.522008388,0.499224122,0.494259255,0.486417838,0.480223527,0.470356287,0.457288899,0.439209744,0.423183241,0.404572575,0.388854572
DZA,11.30947031,10.09697918,9.254873785,8.719479996,8.302734073,7.877356136,7.357405556,7.070444122,6.731102391,6.456800871,6.126657462,5.770674884,5.391062365,4.995798016,4.665541662,4.334454432,4.055524044,3.79574443,3.572977204,3.369330032,3.191329831,3.035268758,2.89467995,2.790147277,2.713169215,2.632575261,2.508665,2.405481109,2.306604245,2.218648702
ASM,14.50650262,14.33104358,14.05906714,13.31933801,12.3197125,11.53205215,10.93831006,10.23843678,9.832379114,9.44734426,8.952990704,8.608698622,8.320606982,8.033947714,7.755355403,7.491056881,7.383873365,7.264733086,7.007610492,7.046424973,7.089049516,6.977130134,6.781289778,6.692430424,6.637236077,6.569031971,6.525722365,6.523474395,6.483912239,6.424623726
AND,0.22425652,0.21982464,0.216759144,0.210022468,0.204833135,0.1978964,0.192783737,0.186766925,0.18141942,0.176582419,0.17300658,0.170110451,0.166842545,0.163687438,0.162664407,0.160713902,0.159517174,0.156696961,0.155254975,0.154928874,0.153858835,0.153050083,0.15266697,0.153604896,0.153924843,0.154048574,0.153286276,0.152179707,0.151113926,0.149801262
AGO,372.0912607,362.2420655,350.9329268,345.9940012,344.0247064,337.2591714,319.4391482,304.5630004,293.3546694,279.330815,266.2689121,248.9634581,231.991763,214.6364053,201.8427731,188.364611,183.5124332,170.8456905,162.0973923,153.287054,146.4215928,140.2493754,134.0109671,127.6662301,119.3275785,112.794216,104.9038195,99.95591029,92.67019645,88.40196833
ATG,7.828090752,7.787662189,7.698673304,8.09995548,7.923095036,7.733403652,7.190711092,6.830363563,6.451394843,6.139134784,5.804263914,5.508168739,5.24245311,5.074570592,4.914250206,4.827159728,4.780653116,5.14267933,5.04858285,4.732626754,4.702749929,4.682354835,4.607580844,4.601636136,4.693909692,4.708617976,4.641251745,4.516283062,4.396296519,4.302101351
ARG,5.395054121,5.110285473,4.741669722,4.393569095,4.101737093,4.072575326,4.009047097,3.972204898,3.913488032,3.820369265,3.62363312,3.565979777,3.569997583,3.486448121,3.239795612,3.013815896,2.894872537,2.862266939,2.717196725,2.662839069,2.65748965,2.644076025,2.599059166,2.615877968,2.592863396,2.603638131,2.666055804,2.573623785,2.446211682,2.377475391
ARM,9.983684482,9.990853984,10.28764648,9.914689428,9.462999249,8.775276066,7.847584249,7.072529817,6.198994609,5.345064426,4.509195267,3.836797603,3.155890202,2.691377856,2.351825138,2.049323235,1.820001403,1.615489549,1.465485719,1.330450221,1.211608648,1.166092655,1.079273013,1.050129224,1.035124138,1.031469751,1.039531713,0.983537686,0.94899233,0.914421112
AUS,0.320312691,0.315701167,0.323313512,0.325305283,0.336220695,0.340948424,0.349527338,0.362367393,0.336063022,0.330903277,0.335215247,0.330532488,0.337904717,0.340954127,0.332385894,0.317549144,0.31337384,0.310640051,0.301414273,0.297086527,0.299240861,0.306970536,0.306170577,0.297589446,0.297406992,0.300559716,0.295502232,0.288496954,0.286348876,0.28199207
AUT,0.143988197,0.137040266,0.12888057,0.118843263,0.110401945,0.103000883,0.101216445,0.099214766,0.098884561,0.099927801,0.098854281,0.097217151,0.100312612,0.107295589,0.108055622,0.110187633,0.110984035,0.11351105,0.113338916,0.112936089,0.110170518,0.108505217,0.110450872,0.111999716,0.113459123,0.11932234,0.124715621,0.127774306,0.118329789,0.11408154
AZE,22.4792457,21.82267087,21.57267331,21.43615742,21.24190632,20.98822307,20.22366733,19.59927083,19.13867197,18.02720478,16.60218113,14.29596043,12.23747565,10.59712634,9.32028585,7.897307825,6.634924462,5.505440688,4.727744353,4.149624348,3.715746057,3.448435915,3.234346722,3.08971144,2.976336713,2.876679954,2.785961119,2.667170124,2.506209912,2.38621961
BHS,6.013752475,5.980176155,5.966509743,5.906936343,5.624842165,5.338613429,5.154284555,4.796113143,4.4817761,4.277279771,3.849601649,3.723355853,3.558438248,3.728070021,3.483900788,3.201232689,3.120388814,2.991862831,2.968254842,3.003257764,2.963887243,2.907428974,2.900322282,2.849652135,2.876658645,2.892816611,2.877848419,2.845311078,2.837483005,2.825798854
