Country Code,Country Name,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016
AFG,Afghanistan,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.02,0.18,0.96,0.78,6.27,11.75,17.24,23,28.23,33.75,42.4,44.85,42.7,43.22,69.1,67.26,89.5,71.5,84.14
ALB,Albania,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100
DZA,Algeria,98.27,98.38,98.48,98.59,98.68,98.77,98.85,98.91,98.95,98.97,98.97,98.94,98.91,98.87,98.83,98.8,98.77,98.77,99.3,98.83,98.88,98.96,98.76,99.13,99.23,99.34,99.44
ASM,American Samoa,,,,,,,,,,,,,,,,,,,,,,,,,,,
AND,Andorra,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100
AGO,Angola,11.4,12.58,13.76,14.94,16.11,17.27,18.42,19.56,20.68,21.77,22.84,20,24.94,25.97,27.01,28.05,29.1,37.5,31.27,32.38,33.51,34.6,35.82,36.99,32,42,40.52
ATG,Antigua and Barbuda,85.12,85.66,86.19,86.71,87.24,87.75,88.25,88.74,89.2,89.65,90.07,90.48,90.87,91.25,91.64,92.2,92.43,92.86,93.3,93.76,94.25,94.55,95.25,95.77,96.3,96.83,97.35
ARB,Arab League states,74.38,74.38,74.31,75.35,75.79,76.21,77.21,77.57,78.4,78.97,78.76,80.15,80.36,81.35,82.66,83.69,85.8,84.74,85.43,85.19,86.14,86.78,87.29,88.39,88.08,88.52,88.77
ARG,Argentina,90.64,91.12,91.61,92.09,92.56,93.02,93.47,93.91,94.33,94.73,95.1,95.51,95.8,96.13,96.47,96.81,97.17,97.54,97.93,98.36,98.82,99.22,99.58,99.84,99.96,100,100
ARM,Armenia,97.68,97.85,98.02,98.19,98.35,98.5,98.64,98.77,98.88,98.96,98.9,100,98,99.15,99.18,99.8,99.27,99.33,99.42,99.52,99.8,99.77,99.88,99.95,99.99,100,100
ABW,Aruba,88.45,88.78,89.12,89.45,89.77,90.09,90.39,90.68,90.95,91.2,91.66,91.64,91.83,92.02,92.21,92.41,92.61,92.84,93.09,93.35,93.36,93.94,94.26,94.58,94.91,95.24,95.57
AUS,Australia,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100
AUT,Austria,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100
AZE,Azerbaijan,95.87,96.16,96.46,96.75,97.03,97.31,97.57,97.81,98.03,97,98.91,98.59,100,98.9,99.05,99.21,99.5,99.56,99.74,99.88,99.97,99.9,100,100,100,100,100
BHS,"Bahamas, The",90.79,91.31,91.83,92.35,92.85,93.36,93.84,94.32,94.77,95.2,95.61,96.07,96.39,96.76,97.13,97.51,97.9,98.33,98.75,99.18,99.56,99.83,99.96,99.99,100,100,100
BHR,Bahrain,,,,,,,,,,,,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100
BGD,Bangladesh,8.54,14.29,13.44,15.89,17.8,20.76,23.18,22.4,27.97,30.34,32,35,37.31,39.61,40.6,44.23,50.53,46.5,51.25,53.63,55.26,59.6,60.88,61.5,62.4,68.2,75.92
BRB,Barbados,,,,,,,,,,,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100
BLR,Belarus,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100
BEL,Belgium,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100
