iso3,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,succesor state
ARE,0.0499,0.0516,0.0536,0.0543,0.055,0.0562,0.057,0.0576,0.058,0.058,0.0593,0.0606,0.0605,0.0587,0.0551,0.0525,0.0491,0.0475,0.0474,0.0502,0.0551,0.0624,0.0715,0.0811,0.0891,0.0951,0.0996,0.1034,0.1046,
AFG,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0057,0.0138,0.0234,0.0337,0.0376,0.0419,
ALB,0.4271,0.4297,0.4337,0.4394,0.4432,0.4382,0.4216,0.4112,0.4038,0.3959,0.3926,0.3877,0.3857,0.3832,0.376,0.3741,0.3716,0.3167,0.3068,0.3222,0.3545,0.3378,0.3476,0.3604,0.3739,0.3885,0.3837,0.3908,0.3944,
ARM,0.3549,0.3586,0.3582,0.3605,0.3584,0.3511,0.3491,0.3609,0.3626,0.3638,0.3669,0.3665,0.3673,0.3704,0.3713,0.374,0.377,0.3768,0.3792,0.3554,0.3838,0.3827,0.376,0.3962,0.4065,0.4112,0.4135,0.3993,0.4015,USSR
AGO,0.2515,0.2571,0.2608,0.272,0.271,0.2719,0.2713,0.2711,0.2831,0.2868,0.286,0.2835,0.2842,0.2894,0.2898,0.2868,0.2856,0.2827,0.2701,0.2664,0.2707,0.2682,0.2631,0.2614,0.261,0.2658,0.2677,0.2717,0.2726,
ARG,0.334,0.3422,0.3389,0.3409,0.3422,0.3491,0.349,0.3578,0.3581,0.3589,0.3652,0.3709,0.355,0.356,0.3543,0.3545,0.3529,0.3509,0.3557,0.3507,0.3522,0.352,0.3522,0.3509,0.354,0.3571,0.3605,0.3626,0.3676,
AUT,0.2968,0.3009,0.3029,0.311,0.3131,0.3145,0.3155,0.3173,0.3171,0.3182,0.3252,0.3323,0.3394,0.3357,0.3414,0.3321,0.3397,0.3366,0.3449,0.3509,0.3399,0.3428,0.3493,0.3421,0.3447,0.3437,0.3503,0.3502,0.3501,
AUS,0.3256,0.3293,0.3308,0.332,0.3354,0.3391,0.3427,0.3464,0.3501,0.3538,0.3575,0.3585,0.3595,0.3522,0.3519,0.3515,0.3512,0.3508,0.353,0.3552,0.356,0.3568,0.3576,0.3584,0.3599,0.3618,0.3632,0.3645,0.3657,
AZE,0.3969,0.4007,0.4061,0.4126,0.4165,0.4172,0.4165,0.4155,0.4147,0.413,0.4139,0.4126,0.4084,0.406,0.4,0.3948,0.3922,0.3898,0.3874,0.3871,0.3909,0.3789,0.3788,0.3767,0.3727,0.3733,0.3719,0.3693,0.3682,USSR
BIH,0.3262,0.3186,0.3135,0.3168,0.3244,0.3403,0.3456,0.3433,0.3381,0.3331,0.3286,0.3246,0.322,0.3198,0.3109,0.3101,0.3054,0.3131,0.3189,0.3228,0.3302,0.3278,0.3367,0.3355,0.3375,0.3246,0.3382,0.3387,0.3423,Yugo
BRB,0.3831,0.3855,0.3861,0.3763,0.3878,0.3982,0.3912,0.3888,0.3986,0.4017,0.4042,0.4047,0.4083,0.4124,0.409,0.4122,0.4132,0.4126,0.4208,0.424,0.4154,0.4179,0.4252,0.4266,0.4306,0.424,0.4242,0.4246,0.4243,
BGD,0.0711,0.072,0.073,0.0744,0.0759,0.0773,0.0787,0.0801,0.0816,0.083,0.0842,0.0854,0.0862,0.0845,0.083,0.0836,0.077,0.0711,0.0652,0.062,0.0713,0.0808,0.0906,0.1026,0.1153,0.1289,0.1559,0.1629,0.1689,
BEL,0.3029,0.3105,0.317,0.3184,0.3181,0.3201,0.3244,0.3284,0.3351,0.3373,0.3442,0.3511,0.3581,0.3485,0.362,0.3687,0.3728,0.3815,0.3909,0.3998,0.3987,0.3987,0.4022,0.3995,0.4003,0.4029,0.407,0.4113,0.4122,
