iso,1950,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
MAR,189.724,188.514,185.667,182.874,180.057,177.156,174.15,170.529,167.19,163.933,162.355,157.57,154.41,151.201,147.738,144.266,140.785,137.206,133.802,130.728,127.927,125.329,122.912,120.456,117.754,114.697,110.959,106.857,102.682,98.187,93.67,89.475,85.195,81.151,77.464,73.771,70.328,67.312,64.573,61.928,59.513,57.351,55.367,53.361,51.355,49.691,47.619,46.001,44.411,42.834,41.28,39.664,38.165,36.672,35.254,33.605,32.009,30.261,28.657,27.203,25.9,24.539,23.313,22.013,20.824,19.769,18.82,17.941,17.198,16.563,15.989,15.404
ABW,77.912,75.466,70.773,66.489,62.561,58.992,55.784,52.929,50.406,48.183,46.228,44.505,42.963,41.542,40.193,38.87,37.542,36.217,34.902,33.59,32.291,31.026,29.821,28.691,27.64,26.656,25.716,24.804,23.907,23.035,22.212,21.471,20.839,20.332,19.95,19.678,19.495,19.364,19.254,19.149,19.041,18.931,18.831,18.746,18.673,18.61,18.549,18.487,18.412,18.321,18.202,18.046,17.848,17.611,17.337,17.036,16.715,16.388,16.067,15.758,15.466,15.191,14.929,14.675,14.427,14.184,13.946,13.711,13.479,13.252,13.025,12.797
AFG,285.788,283.559,278.79,273.919,269.402,264.127,259.303,254.443,249.49,244.879,240.533,236.183,232.163,228.239,224.332,220.595,216.648,212.939,209.083,205.302,201.496,197.696,193.969,190.054,186.174,182.19,178.263,174.185,172.667,171.717,167.762,163.641,165.23,161.423,169.738,166.435,150.29,146.525,135.991,131.053,126.956,123.431,118.348,110.762,107.027,104.213,101.242,98.875,96.961,93.402,90.813,88.358,85.779,82.6,79.936,77.515,74.851,71.939,69.248,67.213,64.838,62.276,59.97,57.809,56.256,54.491,52.454,49.377,47.835,46.713,45.766,44.687
AGO,181.336,180.913,180.044,179.103,178.091,177.006,175.847,174.612,173.3,171.908,170.433,168.877,167.239,165.527,163.752,161.924,160.05,158.144,156.221,154.299,152.389,150.495,148.631,146.786,145.002,144.596,143.573,141.985,140.488,139.113,137.849,136.487,135.223,136.114,135.01,134.006,133.217,136.475,135.206,134.775,134.45,131.104,134.577,131.22,128.968,128.622,127.789,126.494,127.207,123.662,122.385,118.468,116.032,110,105.694,101.108,96.518,91.445,86.514,81.773,77.219,72.979,68.76,65.185,62.021,59.355,57.005,54.927,53.032,51.254,49.582,48.055
AIA,95.868,94.455,91.61,88.778,85.978,83.218,80.464,77.724,74.985,72.314,72.122,67.161,64.607,62.091,59.602,57.137,54.69,52.262,49.845,47.469,45.099,42.746,40.443,38.166,35.936,33.855,31.785,29.758,27.824,26.004,24.365,22.989,21.877,21.048,20.443,20.022,19.584,19.042,18.354,17.516,16.557,15.575,14.634,13.89,13.309,12.872,12.53,12.208,11.841,11.414,10.93,10.407,9.88,9.386,8.946,8.571,8.266,8.024,7.833,7.687,7.578,7.498,7.432,7.377,7.319,7.251,7.167,8.143,6.955,6.83,6.695,6.554
ALB,220.764,218.426,213.782,208.689,203.107,197.033,190.472,183.431,175.949,168.117,160.03,151.836,143.702,135.632,127.838,120.407,113.301,106.434,99.736,93.27,87.081,81.252,75.798,70.856,66.529,62.798,59.709,57.223,55.247,53.718,52.445,51.359,50.33,49.266,48.068,46.729,45.124,43.407,41.601,39.741,37.871,36.037,34.294,32.588,31.06,29.641,28.363,27.98,26.085,25.021,23.945,22.778,21.597,20.346,19.065,17.802,16.527,15.292,14.097,12.957,11.881,10.889,10.028,9.351,8.866,8.569,8.444,8.447,8.542,8.72,8.825,8.941
AND,51.193,52.646,39.537,36.233,31.541,32.356,32.131,32.801,25.129,25.522,23.083,22.846,21.953,22.629,20.809,19.31,19.183,19.355,18.696,20.13,16.869,18.151,15.418,16.052,15.425,15.008,14.527,13.777,13.565,12.802,12.046,11.819,10.982,11.38,10.967,11.114,10.75,10.554,10.615,10.69,9.877,10.352,7.935,9.55,6.258,9.193,7.833,7.407,8.712,7.089,7.441,6.702,6.411,5.253,8.217,6.757,5.966,6.049,6.038,6.026,6.014,6.005,5.994,5.983,5.972,5.965,5.952,5.942,5.932,5.921,5.911,5.782
ARE,185.648,183.285,178.391,173.406,168.335,163.173,157.916,152.563,147.109,141.513,135.835,130.029,124.203,118.265,111.104,104.727,98.264,91.808,85.255,78.861,72.509,66.596,61.014,55.819,51.027,46.607,42.457,38.601,35.055,31.828,28.916,26.339,24.093,22.151,20.515,19.072,17.797,16.681,15.691,14.806,14.011,13.299,12.664,12.094,11.598,11.155,10.761,10.398,10.076,9.786,9.524,9.275,9.044,8.817,8.601,8.398,8.211,8.031,7.837,7.621,7.398,7.181,6.982,6.806,6.647,6.49,6.323,6.146,5.961,5.779,5.596,5.412
ARG,67.342,66.251,64.228,62.52,61.13,60.057,59.296,58.829,58.805,58.645,58.821,59.08,59.333,59.484,59.457,59.168,58.568,57.618,56.356,54.85,53.135,51.22,49.219,47.214,45.244,43.34,41.598,39.972,38.295,36.736,35.313,33.939,32.691,31.524,30.429,29.406,28.423,27.51,26.65,25.833,25.049,24.291,23.553,22.831,22.122,21.423,20.736,20.065,19.415,18.785,18.18,17.59,17.021,16.472,15.94,15.427,14.93,14.448,13.98,13.527,13.088,12.661,12.246,11.842,11.452,11.078,10.724,10.391,10.081,9.794,9.528,9.282
ARM,110.103,109.224,107.471,105.733,104.01,102.301,100.609,98.928,97.262,95.608,93.964,92.329,90.703,89.087,87.486,85.899,84.329,82.783,81.266,79.79,78.371,77.003,75.722,74.525,73.401,72.323,71.253,68.553,65.995,63.508,61.118,58.809,56.652,54.565,52.588,50.643,48.804,46.999,57.95,43.511,41.826,40.145,38.56,36.911,35.325,33.777,32.302,30.887,29.505,28.165,26.863,25.611,24.397,23.24,22.135,21.035,20.007,19.007,18.056,17.156,16.293,15.481,14.723,13.986,13.29,12.642,11.999,11.396,10.841,10.311,9.815,9.351
