Country Name,Country Code,Indicator Name,Indicator Code,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022
Aruba,ABW,"Labor force, female (% of total labor force)",SL.TLF.TOTL.FE.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Africa Eastern and Southern,AFE,"Labor force, female (% of total labor force)",SL.TLF.TOTL.FE.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,45.91494671,45.984245,46.12436086,46.30954297,46.52739281,46.77172643,46.92093907,47.00836786,47.07490644,47.16128812,47.23025949,47.26595572,47.32942899,47.39737384,47.46054974,47.51988145,47.48916262,47.41808913,47.34753171,47.28191623,47.13927109,47.13333955,47.05252633,47.06265795,47.03727007,47.04708078,47.07259031,47.19218318,47.25357411,47.32873736,47.25511026,47.3828737,47.46382576
Afghanistan,AFG,"Labor force, female (% of total labor force)",SL.TLF.TOTL.FE.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,16.86604478,16.95875332,17.03974313,17.06425264,17.07972773,17.15403046,16.99009425,16.82763312,16.70634705,16.61802662,16.5426288,16.65083576,16.79825418,16.95282248,17.09469978,17.22180112,17.01431389,16.82262065,16.66303275,16.56914655,16.57305912,16.884984,17.2789832,18.23056253,19.21842401,20.24479059,21.3078664,22.41811174,22.75872586,23.09936405,19.79348615,,
Africa Western and Central,AFW,"Labor force, female (% of total labor force)",SL.TLF.TOTL.FE.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,45.79173242,45.77559442,45.75392181,45.76482321,45.79761593,45.85102694,45.85147092,45.87403796,45.9034917,45.94898184,45.99826801,45.98569701,45.97420103,45.93284654,45.89062767,45.85058614,45.76969471,45.74416016,45.68849866,45.63721051,45.59133679,45.57225495,45.46473124,45.36733914,45.17365528,45.0058021,44.78907766,44.56481631,44.33812135,44.17832788,44.00178038,44.08316649,44.17476308
Angola,AGO,"Labor force, female (% of total labor force)",SL.TLF.TOTL.FE.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,49.98131676,50.0388641,50.10024886,50.21668771,50.35542957,50.42316313,50.39191789,50.37598788,50.39260912,50.45008033,50.5124293,50.52739416,50.55278716,50.5585047,50.55360859,50.54446806,50.49443532,50.45269753,50.41508856,50.38117805,50.35805686,49.79688738,49.76034693,49.73976349,49.73182125,49.73780065,49.73780906,49.74968597,49.77876831,49.82281837,49.81202339,49.90206544,49.93299846
Albania,ALB,"Labor force, female (% of total labor force)",SL.TLF.TOTL.FE.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,40.80567314,41.62723899,41.96039607,41.92536983,41.92636901,41.84261163,41.84129196,42.21653841,42.18686451,42.07047777,42.02620005,41.92629133,41.85129153,42.03539105,42.22166197,42.41814815,42.63683849,42.8841947,43.15763682,42.07159175,42.66484608,44.06023613,43.07963829,41.85302213,41.19511826,42.50292163,43.57696469,42.87430871,43.39270421,43.94223603,43.82286389,44.12113465,44.31007229
Andorra,AND,"Labor force, female (% of total labor force)",SL.TLF.TOTL.FE.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Arab World,ARB,"Labor force, female (% of total labor force)",SL.TLF.TOTL.FE.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,19.74963016,19.80270226,20.06715768,19.90627047,20.19945374,20.14849567,20.16088178,20.10025097,20.09824149,20.42769022,20.62276776,20.75094875,20.33785314,20.49865485,20.64140797,20.78562793,20.93998263,21.33602821,20.90747916,21.01838931,20.90366648,20.93913173,20.97516889,21.16715087,21.27646724,21.52890492,21.73573791,21.33653751,20.66282462,20.32741633,20.42585603,20.22914809,20.56347631
United Arab Emirates,ARE,"Labor force, female (% of total labor force)",SL.TLF.TOTL.FE.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10.61195537,10.82876978,10.98493508,11.1746441,11.25141939,11.33128833,11.51640486,11.68544376,11.86289715,12.05193126,12.24873385,12.44437745,12.6373131,12.82903404,13.01802645,13.11844589,13.10650584,12.96051373,12.85967519,12.87217317,13.18943659,13.73675002,14.27178828,14.79328829,15.30344695,15.8070513,16.29940581,16.99599559,17.13886871,18.48414917,20.11112891,17.71722016,18.34051478
Argentina,ARG,"Labor force, female (% of total labor force)",SL.TLF.TOTL.FE.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,39.18227344,39.75867343,40.27636456,40.82376118,41.19574376,40.94076331,41.28135377,41.79063508,42.01027824,41.71824085,41.60506584,41.23579438,40.34322207,40.8841085,41.42644396,40.98261104,41.30738265,41.05324692,40.79610054,41.15223797,40.59997808,40.48755669,40.75852342,40.67292705,40.82346403,41.02502325,41.23308485,41.44127052,42.14622011,42.37605603,42.39383414,42.53391082,43.08141696
Armenia,ARM,"Labor force, female (% of total labor force)",SL.TLF.TOTL.FE.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,47.25777946,47.24249157,47.41765285,47.73276461,47.96971851,48.13100332,48.25126216,48.38565145,48.51921257,48.65600135,48.79412308,48.91755414,49.03789839,49.16326503,49.27888825,49.39679452,49.52351504,49.66163218,49.80712541,49.97289271,50.10991089,50.24665068,50.37381809,50.4835351,50.59941502,50.71232702,50.80130137,50.94993635,51.08300196,51.94252292,52.73569974,52.65029261,52.76418518
American Samoa,ASM,"Labor force, female (% of total labor force)",SL.TLF.TOTL.FE.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Antigua and Barbuda,ATG,"Labor force, female (% of total labor force)",SL.TLF.TOTL.FE.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
