Country Name,Country Code,Indicator Name,Indicator Code,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022
Aruba,ABW,"Adolescent fertility rate (births per 1,000 women ages 15-19)",SP.ADO.TFRT,62.182,61.589,61.17,59.658,58.324,56.291,54.201,51.574,50.099,48.378,46.741,44.573,43.071,42.445,42.563,43.154,43.581,44.553,45.428,46.541,47.805,49.399,51.053,52.859,53.679,54.71,55.823,56.546,57.298,57.66,58.584,57.552,52.385,50.069,44.999,45.626,43.259,43.078,37.955,39.798,44.859,40.543,36.813,35.882,35,38.691,41.694,41.108,39.81,39.777,39.323,38.895,37.903,37.026,35.15,28.989,27.419,24.888,20.086,18.906,16.522,14.154,
Africa Eastern and Southern,AFE,"Adolescent fertility rate (births per 1,000 women ages 15-19)",SP.ADO.TFRT,140.1805257,140.810248,141.6641681,142.3249512,143.456933,144.3311499,145.2959462,145.8714926,145.7480644,148.0120043,149.5797042,152.8467695,153.9511169,152.5705022,152.5046725,151.8679142,150.5336087,148.9310956,146.6441035,145.4847203,143.7534375,142.5581318,141.1919508,139.7638066,138.7858433,137.9532231,136.1284793,135.346146,133.9111181,132.4226042,132.8453114,131.9225951,128.6502267,129.8006463,128.7923512,127.3065508,128.2394481,125.2619978,123.8603027,124.9580236,123.1347691,123.6291704,121.9369115,119.5575164,118.8232119,117.5842404,116.401307,115.0608774,114.9334087,112.6023709,111.7587132,111.5585946,109.5321696,108.0927959,107.697715,105.501833,103.2228255,100.9635263,99.49170265,99.08557226,97.41358477,96.18144231,
Afghanistan,AFG,"Adolescent fertility rate (births per 1,000 women ages 15-19)",SP.ADO.TFRT,138.876,138.717,138.494,138.173,140.107,140.935,142.821,143.154,142.341,141.28,140.861,142.301,142.809,142.874,142.713,142.241,141.602,141.159,141.317,138.594,136.482,133.836,131.855,132.271,133.815,134.862,134.459,134.501,138.05,140.807,142.96,147.525,147.521,147.896,155.669,156.77,154.932,156.444,154.262,154.416,152.572,150.863,148.141,143.37,138.827,133.071,126.106,125.858,128.171,120.635,120.82,116.454,111.286,106.537,101.454,97.415,94.018,90.342,88.431,86.803,84.296,82.565,
Africa Western and Central,AFW,"Adolescent fertility rate (births per 1,000 women ages 15-19)",SP.ADO.TFRT,167.05425,170.7484191,174.2122864,175.6656502,175.8476024,175.4670213,173.1764932,170.9846332,168.651907,170.3270719,171.3871902,171.8266581,172.9852519,174.7689651,177.7896742,177.1539689,175.0715674,172.7247896,169.9415957,169.3065954,167.9559217,164.7026072,161.5687657,161.9693594,159.8335902,158.4357617,154.4700398,153.7151646,150.1663813,149.4175913,146.7557144,145.0502313,144.1057002,143.7835041,142.2320915,139.8260304,137.0838968,134.974581,134.4260767,135.7324755,135.3847579,134.4134357,134.2735447,134.5483675,132.1773379,131.7261927,128.9955224,127.0788953,126.319088,125.3023007,125.4744477,125.8710422,125.61039,125.084478,122.3955317,117.7283853,113.4117579,110.863328,109.930971,108.7785357,107.580169,106.5480678,
Angola,AGO,"Adolescent fertility rate (births per 1,000 women ages 15-19)",SP.ADO.TFRT,148.279,150.275,150.801,153.002,155.661,156.336,157.45,157.249,159.33,162.021,162.851,163.405,165.796,165.613,166.453,166.009,167.719,168.102,167.38,168.05,168.278,169.099,170.244,175.986,183.025,189.572,194.699,199.729,200.888,199.929,198.803,197.301,196.4,195.398,195.291,193.237,192.841,187.51,182.742,178.605,177.316,176.253,175.341,171.817,170.795,170.951,169.366,168.678,168.701,169.586,164.955,159.295,156.557,153.345,151.093,148.074,146.135,145.235,142.575,141.278,139.825,138.402,
Albania,ALB,"Adolescent fertility rate (births per 1,000 women ages 15-19)",SP.ADO.TFRT,59.371,56.719,47.62,40.433,39.268,41.521,42.389,43.219,42.295,42.423,35.779,30.836,30.802,30.901,31.375,31.351,29.844,28.008,25.84,23.831,21.862,19.091,17.322,16.713,16.128,16.194,15.942,15.414,15.28,15.203,14.815,14.784,16.155,17.855,20.157,21.869,21.756,20.149,18.001,16.098,14.792,9.697,13.217,15.231,19.046,18.869,17.503,17.309,18.545,18.987,19.65,20.692,20.909,20.865,20.942,20.276,18.171,16.585,15.58,15.013,14.672,14.517,
Andorra,AND,"Adolescent fertility rate (births per 1,000 women ages 15-19)",SP.ADO.TFRT,14.624,15.517,16.559,17.461,18.334,18.214,18.232,18.322,18.897,19.685,20.511,21.329,22.692,23.843,25.272,25.342,22.648,21.326,19.234,17.723,23.219,21.025,22.6,18.977,13.924,14.734,14.448,12.765,12.997,12.411,10.656,10.878,10.919,9.558,8.761,8.242,8.296,8.717,8.767,10.1,9.281,10.072,10.397,9.066,10.092,10.487,10.597,9.87,11.12,10.246,10.558,9.574,8.414,6.989,6.925,7.402,7.176,6.404,6.08,5.985,6.091,5.887,
Arab World,ARB,"Adolescent fertility rate (births per 1,000 women ages 15-19)",SP.ADO.TFRT,141.2355548,140.9511296,142.6925313,142.0658286,140.4243089,138.3480067,138.8107731,135.4208731,129.6516961,126.0427521,121.9357114,121.8499944,120.4626234,116.8547523,114.5501882,113.0708845,109.3385491,105.9746367,103.6371975,99.92608097,99.77429044,98.05845321,96.17864538,94.32897092,89.74840156,85.93299123,81.40644157,77.40480718,75.54778523,72.98191986,70.23058903,69.63046303,68.77434295,67.08734977,65.05383361,62.72738386,60.20779446,58.76943574,56.54730823,56.0605357,55.20160465,53.84041086,53.02548043,53.18949438,52.80771398,52.57546055,53.70954578,53.72138558,53.22206778,53.30204324,53.87726439,54.12703742,54.12275036,54.33502695,53.76098857,52.79613815,50.86942792,49.67853397,48.59611238,47.49533873,46.56756125,45.69494063,
United Arab Emirates,ARE,"Adolescent fertility rate (births per 1,000 women ages 15-19)",SP.ADO.TFRT,160.165,157.725,157.435,157.209,155.435,152.439,151.357,152.005,152.41,151.672,151.131,149.667,146.426,144.822,140.201,138.168,136.145,134.371,131.102,127.182,122.398,114.354,106.325,100.076,92.802,86.385,76.919,68.034,60.709,54.727,48.493,41.065,39.971,38.536,41.638,35.147,34.231,29.477,26.185,24.881,25.818,25.759,25.389,25.997,25.047,22.179,19.436,17.771,16.389,15.087,13.72,12.33,11.149,9.876,8.819,7.785,7.035,5.593,4.275,3.825,3.077,3.085,
Argentina,ARG,"Adolescent fertility rate (births per 1,000 women ages 15-19)",SP.ADO.TFRT,54.977,54.219,55.718,55.292,56.305,57.4,58.684,59.825,60.988,62.583,64.638,64.962,66.661,68.608,70.631,72.626,74.274,75.771,75.957,76.466,76.784,76.117,73.752,73.396,73.031,72.536,71.527,70.728,70.333,69.963,70.928,71.979,72.151,72.502,73.516,72.81,71.39,70.424,69.307,68.268,66.54,64,63.078,60.281,62.62,64.877,64.07,66.424,66.149,66.695,67.064,68.264,68.719,69.167,67.791,65.395,61.852,57.783,51.029,46.153,39.866,39.065,
