Country Name,iso,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018
Albania,ALB,0.09363276,0.08991434,0.08796528,0.08567627,0.08415629,0.08080787,0.07904875,0.07805313,0.07693653,0.0751629,0.0733524,0.1949818,0.004794149,0.005067833,0.004079184,0.003779202,0.001144284,0.006169456,0.007090749,0.00318108,0.00140229,0.00127132,0.002198555,0.002440448,0.002219536,0.001559858,0.000832438,0.000598843,0.000295247,0.000832023,0.001298798,0.001418522,0.003096235,0.003096235,0.002358703,0.002358703,0.002358703,0.001769613,0.001769613
Algeria,DZA,0.06238969,0.05428582,0.05325693,0.04984612,0.01996358,0.02335627,0.02535111,0.03148039,0.01959757,0.02436205,0.009061251,0.004531037,0.0151065,0.01740371,0.01994705,0.02508474,0.02734352,0.02916199,0.02749959,0.02488447,0.02300577,0.01959522,0.01735246,0.01526779,0.01278185,0.01051765,0.009007653,0.008102415,0.006496953,0.00502623,0.004023905,0.00313255,0.002968871,0.002833228,0.002743788,0.002663318,0.002634316,0.002473542,0.002499674
Angola,AGO,0.5092466,0.5441061,0.5409246,0.5387654,0.5436375,0.463797,0.4691896,0.4756601,0.5413125,0.5427275,0.5384476,0.3804378,0.2386657,0.5896624,0.3151239,0.3792433,0.4285361,0.4749436,0.6471704,0.3402574,0.302482,0.3657125,0.2328311,0.1948394,0.2079852,0.1885057,0.165352275,0.138049,0.3965146,0.3639593,0.3609107,0.3361238,0.3085196,0.2889166,0.2470977,0.2466853,0.2341975,0.2300914,0.2210763
Argentina,ARG,0.02399351,0.02355223,0.02552077,0.01319359,0.003768587,0.001860422,0,0.008120833,0.007789866,0.01913233,0.02324448,0.01718449,0.03641734,0.04359443,0.03897425,0.0701795,0.07872028,0.07425949,0.07985293,0.07479045,0.08954053,0.1308033,0.1987901,0.1262198,0.101683,0.08655511,0.07144211,0.05148167,0.0390921,0.02927979,0.0243284,0.008084215,0.005924226,0.004499812,0.006125966,0.005225796,0.005189963,0.0059918,0.004648843
Armenia,ARM,0.01078652,0.01006001,0.009384902,0.009816514,0.008895244,0.008106106,0.01189363,0.01839867,0.02605233,0.008298256,0.01693811,0.05231508,0.3193476,0.3856201,0.3410621,0.5558431,0.5643337,0.6131668,0.6788985,0.614036,0.6210014,0.6177729,0.6273221,0.6221402,0.4781465,0.3823473,0.3472191,0.3032282,0.3167333,0.3353211,0.3543565,0.3351262,0.3132508,0.3104298,0.3061349,0.2741682,0.271558,0.2685778,0.2404522
Australia,AUS,0.001211002,0.01246238,0.01243127,0.009851558,0.009809821,0.01233795,0.009813878,0.0111446,0.01054793,0.009951255,0.009947265,0.009943275,0.009939286,0.009935296,0.01183856,0.01480217,0.01221465,0.01221328,0.01221191,0.01221053,0.01220916,0.01220779,0.01359867,0.01498956,0.009958957,0.009340637,0.008722317,0.009637984,0.007485677,0.008740247,0.009994817,0.011242383,0.012489949,0.01373751,0.01498508,0.01498508,0.01498508,0.01747564,0.01747564
Austria,AUT,0,0.000508923,3.96E-05,0,0.000112523,0.001203704,0.000158562,0,1.97E-05,0.000458836,0.005438301,0.0251471,0.001610865,0,1.87E-05,1.86E-05,0,0,0,0,0,0,6.11E-06,0.007456229,0.002344289,0.004659875,0.004859961,0.007430534,0.009927884,0.009904312,0.009830053,0.0124135,0.01190362,0.007205105,0.007389956,0.01244858,0.01244858,0.01244858,0.01244858
Bangladesh,BGD,0.7079239,0.5604533,0.6903558,0.7154142,0.670229,0.6919702,0.7104571,0.6892215,0.7497965,0.7497192,0.7170462,0.7596935,0.7438803,0.7006651,0.7186375,0.7262497,0.7164319,0.7123109,0.777047,0.785223,0.7750036,0.7550888,0.7421989,0.7226642,0.689833,0.6842448,0.65955566,0.611126,0.58240376,0.5481322,0.5097804,0.507254417,0.506363233,0.503318,0.504026033,0.4974156,0.5004191,0.4061787,0.3422305
Belgium,BEL,1.52E-05,2.03E-05,1.52E-05,1.01E-05,1.01E-05,0,0,0,0,0,0,0,0,4.96E-06,0,0,0,0,0,4.88E-06,4.87E-06,4.86E-06,4.84E-06,0.004962496,0.002235544,0.002313465,0.002499126,0.00249656,0.002492924,0.002257645,0.004894479,0.004971855,0.002432163,0.002473494,0.002434656,0.002423116,0.002423116,0.002423116,0.002423116
Belize,BLZ,0.3813985,0.4077671,0.4448106,0.4874193,0.5175158,0.4418951,0.4169463,0.3802293,0.5046921,0.4675879,0.472857,0.4448106,0.1226027,0.2410371,0.2172253,0.1805458,0.2230207,0.259105,0.2514949,0.2023821,0.1982684,0.1826407,0.1764907,0.1764907,0.1801328,0.1856063,0.2004688,0.20066,0.189947959,0.1820925,0.171703831,0.160361187,0.143188758,0.1389958,0.189226434,0.1614209,0.160314,0.1850822,0.1435992
