iso,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013
MAR,2047,2069,2072,2138,2173,2095,2148,2235,2345,2340,2431,2414,2442,2504,2617,2551,2606,2636,2708,2656,2706,2777,2763,2831,2864,2984,2970,3049,2994,3093,3072,2902,2878,3000,2952,3089,3097,3152,3077,3063,3117,3154,3203,3263,3206,3271,3251,3271,3293,3294,3349,3366,3403
AFG,2999,2917,2698,2953,2956,2737,2971,2918,2935,2534,2512,2658,2721,2713,2752,2824,2489,2621,2621,2478,2484,2480,2524,2452,2403,2397,2727,2518,2462,2314,2044,1891,1910,1820,1844,1843,1874,1903,1852,1790,1737,1826,1892,1967,1948,1966,2046,2041,2081,2104,2107,2100,2090
AGO,1798,1819,1853,1862,1877,1890,1921,1856,1946,1965,2002,1958,1915,1876,1858,1887,1952,1991,1966,1967,1886,1758,1729,1673,1687,1644,1632,1605,1586,1641,1611,1625,1564,1644,1687,1731,1732,1752,1805,1792,1833,1915,1983,2030,2077,2119,2173,2245,2303,2345,2407,2384,2473
ALB,2223,2242,2156,2270,2254,2254,2262,2343,2404,2415,2360,2388,2432,2494,2494,2680,2776,2689,2607,2596,2676,2664,2798,2721,2565,2690,2497,2594,2569,2568,2572,2654,2795,2877,2717,2843,2725,2725,2797,2734,2803,2864,2772,2792,2874,2855,2860,2947,2993,3076,3132,3184,3193
ANT,2946,3061,3130,3137,3111,3045,3114,3182,3149,3263,3287,3184,3178,3217,3148,3389,3455,3439,3542,3576,3743,3748,3814,3877,2710,2798,2817,2673,2660,2627,2623,2756,2880,2828,2872,2910,2916,2957,3020,3077,3051,3074,3064,3084,3087,3085,3066,3081,3103,3112,,,
ARE,2891,2775,2735,2622,2587,2685,2774,2926,2935,2930,2786,2712,3340,3014,3141,3155,3136,3193,3074,3394,3396,3428,3481,3651,3477,3421,3525,3389,3371,3077,3073,3197,3232,3316,3261,3254,3259,3310,3375,3295,3320,3355,3338,3285,3205,3202,3186,3149,3170,3161,3210,3230,3280
ARG,3105,3078,3031,3076,3183,3141,3218,3266,3304,3333,3174,3060,3010,3197,3259,3187,3171,3227,3203,3222,3199,3060,2990,3034,3115,3028,3096,3012,2959,2911,3010,3077,3116,3155,3163,3156,3132,3163,3265,3260,3212,2977,3009,3028,3107,3114,3145,3158,3132,3155,3161,3197,3229
ARM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2184,2099,2181,2270,2320,2330,2320,2288,2236,2239,2259,2432,2554,2668,2757,2761,2869,2819,2768,2788,2882,2928
ATG,2008,2185,2052,2126,2222,2172,1959,2007,2055,2240,2165,1957,1863,1799,1857,1791,1711,1650,1745,1971,2045,1951,2023,2248,2191,2214,2266,2364,2489,2467,2532,2545,2376,2255,2188,2190,2163,2154,2158,2150,2085,2069,2071,2107,2331,2328,2411,2380,2322,2316,2369,2293,2417
AUS,3091,3113,3169,3146,3095,3166,3106,3127,3131,3159,3183,3221,3098,3018,3093,3115,3071,3022,3009,3060,3069,3104,3038,3083,3121,3083,3110,3115,3133,3174,3121,3125,3042,3054,3099,3077,3096,3015,3014,2991,3048,3077,3104,3052,3099,3156,3198,3199,3205,3213,3237,3257,3276
AUT,3191,3193,3248,3270,3220,3232,3194,3221,3153,3217,3230,3207,3294,3201,3142,3243,3192,3213,3283,3355,3348,3400,3360,3361,3374,3429,3420,3422,3478,3510,3556,3546,3508,3557,3510,3551,3494,3608,3673,3726,3728,3652,3609,3606,3640,3719,3737,3717,3723,3724,3735,3739,3768
AZE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2318,2235,2159,2126,2223,2021,2119,2185,2282,2371,2461,2554,2639,2837,3006,3019,3026,2995,2973,3039,3055,3118
BEL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3709,3747,3749,3717,3722,3716,3716,3713,3702,3697,3707,3720,3715,3733
BEN,1736,1758,1703,1669,1812,1804,1833,1935,1871,1812,1890,1797,1877,1750,1596,1899,1840,1880,1980,1875,1833,1861,1746,1977,1966,1986,1822,1927,2111,2134,2198,2142,2155,2179,2203,2251,2243,2236,2234,2245,2315,2401,2360,2461,2435,2450,2564,2521,2565,2555,2598,2610,2619
BFA,1326,1308,1452,1555,1571,1560,1587,1602,1604,1546,1523,1459,1434,1462,1507,1568,1400,1580,1676,1564,1506,1670,1589,1545,1728,2042,2025,2022,2086,2196,2233,2292,2313,2344,2337,2338,2311,2285,2343,2318,2332,2411,2492,2505,2463,2559,2546,2588,2639,2681,2664,2707,2720
BGD,2154,2128,2174,2158,2122,2111,1970,2073,2127,2200,2034,1877,1977,2054,1946,2091,1899,2032,2084,2023,1998,2030,2052,2029,2068,2066,2136,2108,2085,2111,2116,2111,2010,2003,2043,2048,2096,2161,2266,2258,2331,2313,2350,2382,2372,2372,2417,2386,2425,2439,2429,2435,2450
